entry_id,contest_id,contest_name,C,C,W,W,W,W,D,D,G,,Instructions,,,,,,,,,,,,,,
1876237703,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-58926:BRAYDEN POINT,40554-42478:BO HORVAT,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-62723:ONDREJ KASE,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-15271:LAURENT BROSSOIT,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
1876239877,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-58926:BRAYDEN POINT,40554-42478:BO HORVAT,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-62723:ONDREJ KASE,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-8780:JONATHAN BERNIER,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
1876239879,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-58926:BRAYDEN POINT,40554-42478:BO HORVAT,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-62723:ONDREJ KASE,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-8412:JONATHAN QUICK,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
1876239885,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-8655:STEVEN STAMKOS,40554-13612:TYLER JOHNSON,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-62723:ONDREJ KASE,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-8920:DEVAN DUBNYK,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
1876239891,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-8655:STEVEN STAMKOS,40554-13612:TYLER JOHNSON,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-62723:ONDREJ KASE,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-9278:MARTIN JONES,,,,,,,,,,,,,,,,
1876239896,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-8655:STEVEN STAMKOS,40554-13612:TYLER JOHNSON,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-62723:ONDREJ KASE,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-12283:JACOB MARKSTROM,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
1876239904,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-58926:BRAYDEN POINT,40554-42478:BO HORVAT,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-9354:PAT MAROON,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-82094:ALEXANDAR GEORGIEV,,40554-41391:Nathan MacKinnon,40554-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.8111114501953,18,8900,COL@EDM,COL,EDM,,,
1876239909,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-58926:BRAYDEN POINT,40554-42478:BO HORVAT,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-9354:PAT MAROON,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-40050:ANTTI RAANTA,,40554-8883:Ben Bishop,40554-8883,G,Ben,Ben Bishop,Bishop,18.7692307692308,13,8900,DAL@VAN,DAL,VAN,,,
1876239913,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-58926:BRAYDEN POINT,40554-42478:BO HORVAT,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-9354:PAT MAROON,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-104427:ADAM WERNER,,40554-58331:Leon Draisaitl,40554-58331,W,Leon,Leon Draisaitl,Draisaitl,23.0899993896484,20,8900,COL@EDM,EDM,COL,,,
1876239919,40554-231422148,$2K Thu NHL Deflection (Only $0.25 to Enter),40554-58926:BRAYDEN POINT,40554-42478:BO HORVAT,40554-43214:NIKITA KUCHEROV,40554-9259:MIKE HOFFMAN,40554-8555:JEFF CARTER,40554-9354:PAT MAROON,40554-15356:DOUGIE HAMILTON,40554-8669:VICTOR HEDMAN,40554-15268:JOHN GIBSON,,40554-54565:Andrei Vasilevskiy,40554-54565,G,Andrei,Andrei Vasilevskiy,Vasilevskiy,18,10,8800,NYR@TB,TB,NYR,,,
