Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
1728904896,NHL $30K Poke Check [$5K to 1st],80917642,$5,Tomas Hertl (13774962),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Chris Kreider (13775354),Shea Weber (13775826),Justin Schultz (13775872),Craig Anderson (13776307),Jake DeBrusk (13775398),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1728930258,NHL $30K Poke Check [$5K to 1st],80917642,$5,Tomas Hertl (13774962),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Chris Kreider (13775354),Shea Weber (13775826),Justin Schultz (13775872),Henrik Lundqvist (13776286),Jake DeBrusk (13775398),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1728930259,NHL $30K Poke Check [$5K to 1st],80917642,$5,Tomas Hertl (13774962),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Chris Kreider (13775354),Shea Weber (13775826),Justin Schultz (13775872),MacKenzie Blackwood (13776287),Jake DeBrusk (13775398),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1728930260,NHL $30K Poke Check [$5K to 1st],80917642,$5,Tomas Hertl (13774962),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Chris Kreider (13775354),Shea Weber (13775826),Justin Schultz (13775872),Jimmy Howard (13776306),Jake DeBrusk (13775398),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1728930261,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Thomas Greiss (13776297),Brayden Schenn (13774990),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1728930262,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Kasimir Kaskisuo (13776300),Brayden Schenn (13774990),,,,,,,,,,
1728930263,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Tristan Jarry (13776301),Brayden Schenn (13774990),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1728930264,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Braden Holtby (13776277),Brayden Schenn (13774990),,G,Carey Price (13776268),Carey Price,13776268,G,8500,NJ@MON 11/16/2019 07:00PM ET,MON,15.88
1728930265,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Jaroslav Halak (13776295),Brayden Schenn (13774990),,RW,David Pastrnak (13775250),David Pastrnak,13775250,W/UTIL,8300,WAS@BOS 11/16/2019 07:00PM ET,BOS,19.32
1728930266,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),John Gibson (13776283),Brayden Schenn (13774990),,G,Keith Kinkaid (13776288),Keith Kinkaid,13776288,G,8300,NJ@MON 11/16/2019 07:00PM ET,MON,9.43
1728930267,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Robin Lehner (13776282),Brayden Schenn (13774990),,G,Jordan Binnington (13776269),Jordan Binnington,13776269,G,8300,ANH@STL 11/16/2019 08:00PM ET,STL,15.96
1728930268,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Antoine Bibeau (13776303),Brayden Schenn (13774990),,G,Carter Hutton (13776271),Carter Hutton,13776271,G,8200,OTT@BUF 11/16/2019 07:00PM ET,BUF,15.36
1728930269,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Kyle Okposo (13775528),Shea Weber (13775826),Vince Dunn (13775988),Thatcher Demko (13776296),Brayden Schenn (13774990),,G,Pekka Rinne (13776270),Pekka Rinne,13776270,G,8200,CHI@NSH 11/16/2019 08:00PM ET,NSH,14.06
1728930270,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Brayden Schenn (13774990),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Shea Weber (13775826),Aaron Ekblad (13775848),Brian Elliott (13776293),Kyle Okposo (13775528),,C,Nathan MacKinnon (13774938),Nathan MacKinnon,13774938,C/UTIL,8200,COL@VAN 11/16/2019 10:00PM ET,COL,18.36
1728930271,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Justin Schultz (13775872),Vince Dunn (13775988),Linus Ullmark (13776292),Brayden Schenn (13774990),,LW,Alex Ovechkin (13775252),Alex Ovechkin,13775252,W/UTIL,8100,WAS@BOS 11/16/2019 07:00PM ET,WAS,18.39
1728930272,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Justin Schultz (13775872),Vince Dunn (13775988),Sergei Bobrovsky (13776273),Brayden Schenn (13774990),,G,Jake Allen (13776289),Jake Allen,13776289,G,8100,ANH@STL 11/16/2019 08:00PM ET,STL,12.02
1728930273,NHL $30K Poke Check [$5K to 1st],80917642,$5,Evgeni Malkin (13774948),Tomas Hertl (13774962),Viktor Arvidsson (13775284),Mike Hoffman (13775310),Jake DeBrusk (13775398),Justin Schultz (13775872),Vince Dunn (13775988),Martin Jones (13776272),Brayden Schenn (13774990),,G,Martin Jones (13776272),Martin Jones,13776272,G,8100,DET@SJ 11/16/2019 10:30PM ET,SJ,9.47
