entry_id,contest_id,contest_name,C,C,W,W,W,W,D,D,G,,Instructions,,,,,,,,,,,,,,
1878194029,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-8292:CRAIG ANDERSON,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
1878194202,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-54809:LINUS ULLMARK,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
1878194203,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-8532:HENRIK LUNDQVIST,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
1878194204,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-12163:SERGEI BOBROVSKY,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
1878194205,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-8633:THOMAS GREISS,,,,,,,,,,,,,,,,
1878194207,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-8553:BRIAN ELLIOTT,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
1878194209,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-42868:TRISTAN JARRY,,40590-59218:David Pastrnak,40590-59218,W,David,David Pastrnak,Pastrnak,23.4157891524465,19,9200,WSH@BOS,BOS,WSH,,,
1878194210,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-9416:BRADEN HOLTBY,,40590-42869:Matt Murray,40590-42869,G,Matt,Matt Murray,Murray,17.5,16,9000,TOR@PIT,PIT,TOR,,,
1878194212,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-8453:JAROSLAV HALAK,,40590-8452:Carey Price,40590-8452,G,Carey,Carey Price,Price,20.6499996185303,16,8800,NJ@MON,MON,NJ,,,
1878194214,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-66744:MACKENZIE BLACKWOOD,,40590-41391:Nathan MacKinnon,40590-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.0315792686061,19,8800,COL@VAN,COL,VAN,,,
1878194215,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-14183:KEITH KINKAID,,40590-8718:Alex Ovechkin,40590-8718,W,Alex,Alex Ovechkin,Ovechkin,20.6857139950707,21,8800,WSH@BOS,WSH,BOS,,,
1878194216,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-15268:JOHN GIBSON,,40590-8193:Tuukka Rask,40590-8193,G,Tuukka,Tuukka Rask,Rask,22.7333323160807,12,8700,WSH@BOS,BOS,WSH,,,
1878194218,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-15339:JORDAN BINNINGTON,,40590-70899:Auston Matthews,40590-70899,C,Auston,Auston Matthews,Matthews,20.3571428571429,21,8700,TOR@PIT,TOR,PIT,,,
1878194220,40590-231470985,$1250 Sat NHL Deflection ($0.25 to Enter),40590-64100:JACK EICHEL,40590-40036:TOMAS HERTL,40590-59207:VIKTOR ARVIDSSON,40590-9259:MIKE HOFFMAN,40590-23233:Alex Galchenyuk,40590-61549:FRANK VATRANO,40590-8467:SHEA WEBER,40590-55607:AARON EKBLAD,40590-8864:ROBIN LEHNER,,40590-9416:Braden Holtby,40590-9416,G,Braden,Braden Holtby,Holtby,17.8857138497489,14,8500,WSH@BOS,WSH,BOS,,,
