Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40590-59218,W,David,David Pastrnak,Pastrnak,23.415789152446546,19,9200,WSH@BOS,BOS,WSH,,,,,
40590-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.031579268606084,19,8800,COL@VAN,COL,VAN,,,,,
40590-8718,W,Alex,Alex Ovechkin,Ovechkin,20.685713995070685,21,8800,WSH@BOS,WSH,BOS,,,,,
40590-70899,C,Auston,Auston Matthews,Matthews,20.357142857142858,21,8700,TOR@PIT,TOR,PIT,,,,,
40590-8262,W,Patrick,Patrick Kane,Kane,17.72222222222222,18,8300,CHI@NSH,CHI,NSH,,,,,
40590-41393,C,Aleksander,Aleksander Barkov,Barkov,16.657894736842106,19,8300,NYR@FLA,FLA,NYR,,,,,
40590-62493,W,Artemi,Artemi Panarin,Panarin,16.92941104664522,17,8200,NYR@FLA,NYR,FLA,,,,,
40590-8595,C,Evgeni,Evgeni Malkin,Malkin,14.462499618530273,8,8200,TOR@PIT,PIT,TOR,,,,,
40590-8763,W,Brad,Brad Marchand,Marchand,21.273684853001644,19,8200,WSH@BOS,BOS,WSH,,,,,
40590-8594,C,Sidney,Sidney Crosby,Crosby,14.252941355985755,17,8100,TOR@PIT,PIT,TOR,IR,Groin,,,
40590-64100,C,Jack,Jack Eichel,Eichel,17.049999660915798,18,7900,OTT@BUF,BUF,OTT,,,,,
40590-39253,W,Filip,Filip Forsberg,Forsberg,19.166666666666668,12,7800,CHI@NSH,NSH,CHI,,,,,
40590-8175,C,Patrice,Patrice Bergeron,Bergeron,16.042104620682565,19,7800,WSH@BOS,BOS,WSH,,,,,
40590-66683,W,Mitchell,Mitchell Marner,Marner,14.527777777777779,18,7700,TOR@PIT,TOR,PIT,IR,Ankle,,,
40590-9092,W,Evander,Evander Kane,Kane,18.852941176470587,17,7700,DET@SJ,SJ,DET,,,,,
40590-52475,C,Evgeny,Evgeny Kuznetsov,Kuznetsov,15.472222222222221,18,7600,WSH@BOS,WSH,BOS,,,,,
40590-8494,C,John,John Tavares,Tavares,13.549999782017299,14,7600,TOR@PIT,TOR,PIT,,,,,
40590-66737,W,Mikko,Mikko Rantanen,Rantanen,18.266665988498264,9,7500,COL@VAN,COL,VAN,IR,Lower body,,,
40590-8556,C,Claude,Claude Giroux,Giroux,12.831579107987253,19,7500,NYI@PHI,PHI,NYI,,,,,
40590-8426,D,Brent,Brent Burns,Burns,15.644999694824218,20,7400,DET@SJ,SJ,DET,,,,,
40590-15217,W,Jonathan,Jonathan Huberdeau,Huberdeau,16.363157573499176,19,7400,NYR@FLA,FLA,NYR,,,,,
40590-12410,W,Taylor,Taylor Hall,Hall,13.588889227973091,18,7300,NJ@MON,NJ,MON,,,,,
40590-15306,W,Brendan,Brendan Gallagher,Gallagher,14.821052952816611,19,7300,NJ@MON,MON,NJ,,,,,
40590-12439,W,Jeff,Jeff Skinner,Skinner,13.594444274902344,18,7200,OTT@BUF,BUF,OTT,,,,,
40590-84409,C,Elias,Elias Pettersson,Pettersson,16.035000610351563,20,7200,COL@VAN,VAN,COL,,,,,
40590-9015,D,John,John Carlson,Carlson,21.266666957310267,21,7200,WSH@BOS,WSH,BOS,,,,,
40590-70571,W,Jake,Jake Guentzel,Guentzel,13.526315789473685,19,7200,TOR@PIT,PIT,TOR,,,,,
40590-14565,C,Mika,Mika Zibanejad,Zibanejad,18.08888922797309,9,7100,NYR@FLA,NYR,FLA,O,Upper body,,,
40590-79857,W,Brock,Brock Boeser,Boeser,14.11999969482422,20,7100,COL@VAN,VAN,COL,,,,,
40590-14697,W,Gabriel,Gabriel Landeskog,Landeskog,10.9272724498402,11,7000,COL@VAN,COL,VAN,IR,Lower body,,,
40590-9124,C,Ryan,Ryan O'Reilly,O'Reilly,12.985000610351562,20,7000,ANH@STL,STL,ANH,,,,,
40590-8275,C,Matt,Matt Duchene,Duchene,12.335293938131894,17,6900,CHI@NSH,NSH,CHI,,,,,
40590-15308,C,Sean,Sean Couturier,Couturier,11.74210558439556,19,6900,NYI@PHI,PHI,NYI,,,,,
40590-40036,C,Tomas,Tomas Hertl,Hertl,15.45,20,6800,DET@SJ,SJ,DET,,,,,
40590-43134,W,Anthony,Anthony Mantha,Mantha,17.095238095238095,21,6800,DET@SJ,DET,SJ,,,,,
40590-59207,W,Viktor,Viktor Arvidsson,Arvidsson,11.399999830457899,18,6800,CHI@NSH,NSH,CHI,,,,,
40590-12262,D,Roman,Roman Josi,Josi,17.505555894639755,18,6800,CHI@NSH,NSH,CHI,,,,,
40590-9269,C,Logan,Logan Couture,Couture,12.975,20,6700,DET@SJ,SJ,DET,,,,,
40590-8303,W,Jakub,Jakub Voracek,Voracek,10.178947047183389,19,6700,NYI@PHI,PHI,NYI,,,,,
