Cam Talbot
Marc-Andre Fleury
Carter Hutton
Corey Crawford
Sean Monahan
Johnny Gaudreau
Elias Lindholm
Michael Frolik
Matthew Tkachuk
Mikael Backlund
Derek Ryan
Andrew Mangiapane
Sam Bennett
Mark Jankowski
Tobias Rieder
Milan Lucic
Mark Giordano
Rasmus Andersson
Noah Hanifin
Travis Hamonic
Oliver Kylington
Michael Stone
William Karlsson
Reilly Smith
Max Pacioretty
Cody Eakin
Jonathan Marchessault
Mark Stone
Alex Tuch
Cody Glass
Paul Stastny
Tomas Nosek
Ryan Reaves
William Carrier
Brayden McNabb
Nate Schmidt
Deryk Engelland
Shea Theodore
Jon Merrill
Nick Holden
Victor Olofsson
Sam Reinhart
Jack Eichel
Jeff Skinner
Conor Sheary
Evan Rodrigues
Curtis Lazar
Jimmy Vesey
Casey Mittelstadt
Rasmus Asplund
Kyle Okposo
Zemgus Girgensons
Jake McCabe
Rasmus Ristolainen
Rasmus Dahlin
Brandon Montour
Marco Scandella
Henri Jokiharju
Alexander Nylander
Jonathan Toews
Brandon Saad
Dylan Strome
Patrick Kane
Alex DeBrincat
David Kampf
Andrew Shaw
Dominik Kubalik
Ryan Carpenter
Kirby Dach
Drake Caggiula
Duncan Keith
Erik Gustafsson
Calvin de Haan
Brent Seabrook
Olli Maatta
Connor Murphy
