Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
1739370954,NHL $40K Twine [$10K to 1st],81230434,$10,Evgeny Kuznetsov (13798383),Jesperi Kotkaniemi (13798405),Brendan Gallagher (13798445),T.J. Oshie (13798447),Artemi Panarin (13798449),Shea Weber (13798553),Mike Reilly (13798599),Henrik Lundqvist (13798648),Chris Kreider (13798467),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1739380812,NHL $40K Twine [$10K to 1st],81230434,$10,Ryan Strome (13798391),Nick Suzuki (13798399),Alex Ovechkin (13798443),T.J. Oshie (13798447),Max Domi (13798459),Shea Weber (13798553),Mike Reilly (13798599),Craig Anderson (13798647),Chris Kreider (13798467),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1739380813,NHL $40K Twine [$10K to 1st],81230434,$10,Nick Suzuki (13798399),Jesperi Kotkaniemi (13798405),Alex Ovechkin (13798443),T.J. Oshie (13798447),Artemi Panarin (13798449),Shea Weber (13798553),Mike Reilly (13798599),Carey Price (13798641),Chris Kreider (13798467),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1739380814,NHL $40K Twine [$10K to 1st],81230434,$10,Nick Suzuki (13798399),Jesperi Kotkaniemi (13798405),Alex Ovechkin (13798443),T.J. Oshie (13798447),Artemi Panarin (13798449),Shea Weber (13798553),Mike Reilly (13798599),Braden Holtby (13798642),Chris Kreider (13798467),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
,,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,LW,Alex Ovechkin (13798443),Alex Ovechkin,13798443,W/UTIL,8400,WAS@NYR 11/20/2019 08:00PM ET,WAS,17.55
,,,,,,,,,,,,,,G,Carey Price (13798641),Carey Price,13798641,G,8200,OTT@MON 11/20/2019 07:30PM ET,MON,14.78
,,,,,,,,,,,,,,G,Keith Kinkaid (13798643),Keith Kinkaid,13798643,G,8100,OTT@MON 11/20/2019 07:30PM ET,MON,11.65
,,,,,,,,,,,,,,G,Braden Holtby (13798642),Braden Holtby,13798642,G,8100,WAS@NYR 11/20/2019 08:00PM ET,WAS,14.11
,,,,,,,,,,,,,,G,Vitek Vanecek (13798644),Vitek Vanecek,13798644,G,8000,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,G,Ilya Samsonov (13798645),Ilya Samsonov,13798645,G,8000,WAS@NYR 11/20/2019 08:00PM ET,WAS,14.26
,,,,,,,,,,,,,,D,John Carlson (13798551),John Carlson,13798551,D/UTIL,7800,WAS@NYR 11/20/2019 08:00PM ET,WAS,17.24
,,,,,,,,,,,,,,G,Anders Nilsson (13798646),Anders Nilsson,13798646,G,7300,OTT@MON 11/20/2019 07:30PM ET,OTT,17.4
,,,,,,,,,,,,,,G,Craig Anderson (13798647),Craig Anderson,13798647,G,7200,OTT@MON 11/20/2019 07:30PM ET,OTT,9.34
,,,,,,,,,,,,,,C,Evgeny Kuznetsov (13798383),Evgeny Kuznetsov,13798383,C/UTIL,7200,WAS@NYR 11/20/2019 08:00PM ET,WAS,11.7
,,,,,,,,,,,,,,G,Henrik Lundqvist (13798648),Henrik Lundqvist,13798648,G,7000,WAS@NYR 11/20/2019 08:00PM ET,NYR,13.89
,,,,,,,,,,,,,,G,Alexandar Georgiev (13798649),Alexandar Georgiev,13798649,G,6900,WAS@NYR 11/20/2019 08:00PM ET,NYR,11.91
,,,,,,,,,,,,,,D,Shea Weber (13798553),Shea Weber,13798553,D/UTIL,6800,OTT@MON 11/20/2019 07:30PM ET,MON,12.98
,,,,,,,,,,,,,,RW,Brendan Gallagher (13798445),Brendan Gallagher,13798445,W/UTIL,6700,OTT@MON 11/20/2019 07:30PM ET,MON,12.59
,,,,,,,,,,,,,,G,Charlie Lindgren (13798650),Charlie Lindgren,13798650,G,6500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,G,Filip Gustavsson (13798652),Filip Gustavsson,13798652,G,6500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,G,Marcus Hogberg (13798653),Marcus Hogberg,13798653,G,6500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,G,Pheonix Copley (13798651),Pheonix Copley,13798651,G,6500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,G,Igor Shesterkin (13798654),Igor Shesterkin,13798654,G,6500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,C,Nicklas Backstrom (13798385),Nicklas Backstrom,13798385,C/UTIL,6200,WAS@NYR 11/20/2019 08:00PM ET,WAS,9.6
,,,,,,,,,,,,,,RW,T.J. Oshie (13798447),T.J. Oshie,13798447,W/UTIL,6200,WAS@NYR 11/20/2019 08:00PM ET,WAS,9.48
,,,,,,,,,,,,,,LW,Artemi Panarin (13798449),Artemi Panarin,13798449,W/UTIL,5900,WAS@NYR 11/20/2019 08:00PM ET,NYR,13.87
,,,,,,,,,,,,,,LW,Jakub Vrana (13798451),Jakub Vrana,13798451,W/UTIL,5700,WAS@NYR 11/20/2019 08:00PM ET,WAS,10.93
,,,,,,,,,,,,,,RW,Tom Wilson (13798453),Tom Wilson,13798453,W/UTIL,5600,WAS@NYR 11/20/2019 08:00PM ET,WAS,10.78
,,,,,,,,,,,,,,LW,Tomas Tatar (13798455),Tomas Tatar,13798455,W/UTIL,5500,OTT@MON 11/20/2019 07:30PM ET,MON,10.39
,,,,,,,,,,,,,,LW,Brady Tkachuk (13798457),Brady Tkachuk,13798457,W/UTIL,5300,OTT@MON 11/20/2019 07:30PM ET,OTT,11.22
,,,,,,,,,,,,,,C,Jean-Gabriel Pageau (13798387),Jean-Gabriel Pageau,13798387,C/UTIL,5200,OTT@MON 11/20/2019 07:30PM ET,OTT,11.46
,,,,,,,,,,,,,,LW,Max Domi (13798459),Max Domi,13798459,W/UTIL,5100,OTT@MON 11/20/2019 07:30PM ET,MON,7.94
,,,,,,,,,,,,,,C,Mika Zibanejad (13798389),Mika Zibanejad,13798389,C/UTIL,5000,WAS@NYR 11/20/2019 08:00PM ET,NYR,15.14
,,,,,,,,,,,,,,D,Jacob Trouba (13798555),Jacob Trouba,13798555,D/UTIL,5000,WAS@NYR 11/20/2019 08:00PM ET,NYR,11.21
,,,,,,,,,,,,,,RW,Joel Armia (13798461),Joel Armia,13798461,W/UTIL,4900,OTT@MON 11/20/2019 07:30PM ET,MON,9.06
,,,,,,,,,,,,,,D,Thomas Chabot (13798557),Thomas Chabot,13798557,D/UTIL,4900,OTT@MON 11/20/2019 07:30PM ET,OTT,9.39
,,,,,,,,,,,,,,C,Ryan Strome (13798391),Ryan Strome,13798391,C/UTIL,4900,WAS@NYR 11/20/2019 08:00PM ET,NYR,9.27
,,,,,,,,,,,,,,C,Phillip Danault (13798393),Phillip Danault,13798393,C/UTIL,4700,OTT@MON 11/20/2019 07:30PM ET,MON,7.73
,,,,,,,,,,,,,,RW,Anthony Duclair (13798463),Anthony Duclair,13798463,W/UTIL,4700,OTT@MON 11/20/2019 07:30PM ET,OTT,10.08
