Mackenzie Blackwood
Tristan Jarry
Henrik Lundqvist
Anders Nilsson
Nico Hischier
Taylor Hall
Kyle Palmieri
Jesper Bratt
Miles Wood
Pavel Zacha
Jack Hughes
Jesper Boqvist
Wayne Simmonds
Travis Zajac
Blake Coleman
Nikita Gusev
Damon Severson
P.K. Subban
Andy Greene
Sami Vatanen
Matt Tennyson
Will Butcher
Evgeni Malkin
Jake Guentzel
Bryan Rust
Brandon Tanev
Alex Galchenyuk
Jared McCann
Dominik Simon
Patric Hornqvist
Dominik Kahun
Zachary Aston-Reese
Teddy Blueger
Sam Lafferty
John Marino
Brian Dumoulin
Marcus Pettersson
Chad Ruhwedel
Jack Johnson
Juuso Riikola
Jesper Fast
Ryan Strome
Artemi Panarin
Chris Kreider
Filip Chytil
Pavel Buchnevich
Brett Howden
Kaapo Kakko
Brendan Lemieux
Greg McKegg
Tim Gettinger
Libor Hajek
Jacob Trouba
Ryan Lindgren
Adam Fox
Brady Skjei
Anthony Deangelo
Logan Brown
Anthony Duclair
Brady Tkachuk
Jean-Gabriel Pageau
Connor Brown
Nick Paul
Colin White
Tyler Ennis
Vladislav Namestnikov
Filip Chlapik
Max Véronneau
Chris Tierney
Nikita Zaitsev
Thomas Chabot
Ron Hainsey
Erik Brannstrom
Mark Borowiecki
Dylan Demelo
