Linus Ullmark
Samuel Montembeault
James Reimer
Jimmy Howard
Mikko Koskinen
Darcy Kuemper
Jimmy Vesey
Jack Eichel
Sam Reinhart
Jeff Skinner
Evan Rodrigues
Conor Sheary
Rasmus Asplund
Victor Olofsson
Casey Mittelstadt
Zemgus Girgensons
Johan Larsson
Curtis Lazar
Jake McCabe
Rasmus Ristolainen
Rasmus Dahlin
Brandon Montour
Marco Scandella
Henri Jokiharju
Evgenii Dadonov
Jonathan Huberdeau
Aleksander Barkov
Vincent Trocheck
Frank Vatrano
Brett Connolly
Dominic Toninato
Mike Hoffman
Denis Malgin
Colton Sceviour
Noel Acciari
Brian Boyle
Mackenzie Weegar
Aaron Ekblad
Josh Brown
Keith Yandle
Mark Pysyk
Anton Stralman
Andrei Svechnikov
Sebastian Aho
Teuvo Teravainen
Warren Foegele
Ryan Dzingel
Jordan Staal
Lucas Wallmark
Martin Necas
Nino Niederreiter
Eetu Luostarinen
Jordan Martinook
Brock McGinn
Jaccob Slavin
Dougie Hamilton
Brett Pesce
Joel Edmundson
Haydn Fleury
Jake Gardiner
Dylan Larkin
Tyler Bertuzzi
Robby Fabbri
Andreas Athanasiou
Valtteri Filppula
Frans Nielsen
Brendan Perlini
Taro Hirose
Luke Glendening
Darren Helm
Adam Erne
Madison Bowey
Filip Hronek
Alex Biega
Dennis Cholowski
Jonathan Ericsson
Dylan McIlrath
Connor McDavid
Leon Draisaitl
Zack Kassian
Jujhar Khaira
Ryan Nugent-Hopkins
James Neal
Markus Granlund
Gaetan Haas
Alex Chiasson
Joakim Nygard
Riley Sheahan
Josh Archibald
Ethan Bear
Darnell Nurse
Caleb Jones
Oscar Klefbom
Matt Benning
Kris Russell
Christian Dvorak
Conor Garland
Nick Schmaltz
Vincent Hinostroza
Clayton Keller
Derek Stepan
Lawson Crouse
Phil Kessel
Carl Soderberg
Michael Grabner
Brad Richardson
Christian Fischer
Jason Demers
Oliver Ekman-Larsson
Jakob Chychrun
Alex Goligoski
Jordan Oesterle
Aaron Ness
