Alexandar Georgiev
Mackenzie Blackwood
Brian Elliott
Keith Kinkaid
*Ilya Samsonov
*Jonathan Bernier
*Marcus Hogberg
*David Rittich
*James Reimer
*Curtis McElhinney
*Elvis Merzlikins
*Thomas Greiss
*Carter Hutton
*Frederik Andersen
*Juuse Saros
*Chris Driedger
*Aaron Dell
*Antti Raanta
*Matt Murray
*Jordan Binnington
*Robin Lehner
*Philipp Grubauer
*Jacob Markstrom
*Mike Smith
*Laurent Brossoit
*Jack Campbell
Jesper Fast
Artemi Panarin
Ryan Strome
Chris Kreider
Pavel Buchnevich
Filip Chytil
Brett Howden
Kaapo Kakko
Brendan Lemieux
Tim Gettinger
Greg McKegg
Libor Hajek
Jacob Trouba
Ryan Lindgren
Adam Fox
Brady Skjei
Anthony Deangelo
Kyle Palmieri
Nico Hischier
Taylor Hall
Pavel Zacha
Wayne Simmonds
Jesper Boqvist
Blake Coleman
Nikita Gusev
Travis Zajac
Kevin Rooney
Miles Wood
Jesper Bratt
Damon Severson
P.K. Subban
Andy Greene
Sami Vatanen
Will Butcher
Matt Tennyson
Jakub Voracek
Oskar Lindblom
Sean Couturier
Travis Konecny
Morgan Frost
Claude Giroux
Kevin Hayes
Joel Farabee
Scott Laughton
Tyler Pitlick
Michael Raffl
James van Riemsdyk
Ivan Provorov
Matt Niskanen
Justin Braun
Robert Hagg
Philippe Myers
Travis Sanheim
Phillip Danault
Brendan Gallagher
Tomas Tatar
Artturi Lehkonen
Max Domi
Nicholas Suzuki
Nick Cousins
Joel Armia
Jesperi Kotkaniemi
Jordan Weal
Nate Thompson
Charles Hudon
Victor Mete
Shea Weber
Ben Chiarot
Jeff Petry
Cale Fleury
Mike Reilly
Evgeny Kuznetsov
Alex Ovechkin
Tom Wilson
Lars Eller
T.J. Oshie
Jakub Vrana
Richard Panik
Chandler Stephenson
Travis Boyd
Garnet Hathaway
Nic Dowd
Brendan Leipsic
Michal Kempny
John Carlson
Radko Gudas
Dmitry Orlov
Jonas Siegenthaler
Nick Jensen
Tyler Bertuzzi
Dylan Larkin
Robby Fabbri
Darren Helm
Filip Zadina
Valtteri Filppula
Frans Nielsen
Luke Glendening
Andreas Athanasiou
Christoffer Ehn
Taro Hirose
Brendan Perlini
Madison Bowey
Filip Hronek
Alex Biega
Dennis Cholowski
Dylan McIlrath
Mike Green
Logan Brown
Brady Tkachuk
Anthony Duclair
Jean-Gabriel Pageau
Nick Paul
Connor Brown
Chris Tierney
Tyler Ennis
Colin White
J.C. Beaudin
Max Véronneau
Filip Chlapik
Nikita Zaitsev
Thomas Chabot
Ron Hainsey
Erik Brannstrom
Mark Borowiecki
Dylan Demelo
Johnny Gaudreau
Sean Monahan
Elias Lindholm
Andrew Mangiapane
Mikael Backlund
Matthew Tkachuk
Milan Lucic
Dillon Dube
Derek Ryan
Tobias Rieder
Michael Frolik
Mark Jankowski
Rasmus Andersson
Mark Giordano
Michael Stone
Noah Hanifin
Oliver Kylington
Brandon Davidson
Teuvo Teravainen
Sebastian Aho
Andrei Svechnikov
Brock McGinn
Warren Foegele
Jordan Staal
Nino Niederreiter
Lucas Wallmark
Martin Necas
Eetu Luostarinen
Jordan Martinook
Ryan Dzingel
Jaccob Slavin
Dougie Hamilton
Brett Pesce
