Qiang Wang (13258925),Madison Keys (13258921),Karolina Pliskova (13258920),Alex De Minaur (13258919),Novak Djokovic (13258917),Serena Williams (13258916),49900,-1301,228.6
Qiang Wang (13258925),Madison Keys (13258921),Karolina Pliskova (13258920),Alex De Minaur (13258919),Novak Djokovic (13258917),Roger Federer (13258915),50000,-1301,248.85

David Goffin (13258926),Madison Keys (13258921),Karolina Pliskova (13258920),Alex De Minaur (13258919),Serena Williams (13258916),Daniil Medvedev (13258914),50000,-1295,204.3

Stan Wawrinka (13258927),Madison Keys (13258921),Karolina Pliskova (13258920),Alex De Minaur (13258919),Serena Williams (13258916),Daniil Medvedev (13258914),49900,-1321,272.85
Stan Wawrinka (13258927),Madison Keys (13258921),Karolina Pliskova (13258920),Alex De Minaur (13258919),Roger Federer (13258915),Daniil Medvedev (13258914),50000,-1321,293.1

Petra Martic (13258928),Madison Keys (13258921),Karolina Pliskova (13258920),Alex De Minaur (13258919),Roger Federer (13258915),Daniil Medvedev (13258914),49900,-1297,243.9

Dominik Koepfer (13258929),Madison Keys (13258921),Karolina Pliskova (13258920),Alex De Minaur (13258919),Serena Williams (13258916),Roger Federer (13258915),49600,-1189,252.45

Qiang Wang (13258925),Elina Svitolina (13258922),Karolina Pliskova (13258920),Alex De Minaur (13258919),Serena Williams (13258916),Daniil Medvedev (13258914),49200,-1137,325.35
Qiang Wang (13258925),Elina Svitolina (13258922),Karolina Pliskova (13258920),Alex De Minaur (13258919),Roger Federer (13258915),Daniil Medvedev (13258914),49300,-1137,345.6

David Goffin (13258926),Elina Svitolina (13258922),Karolina Pliskova (13258920),Ashleigh Barty (13258918),Serena Williams (13258916),Daniil Medvedev (13258914),49800,-1215,252.55

Stan Wawrinka (13258927),Elina Svitolina (13258922),Karolina Pliskova (13258920),Ashleigh Barty (13258918),Serena Williams (13258916),Daniil Medvedev (13258914),49700,-1241,321.1
Stan Wawrinka (13258927),Elina Svitolina (13258922),Karolina Pliskova (13258920),Ashleigh Barty (13258918),Roger Federer (13258915),Daniil Medvedev (13258914),49800,-1241,341.35

Petra Martic (13258928),Elina Svitolina (13258922),Karolina Pliskova (13258920),Novak Djokovic (13258917),Roger Federer (13258915),Daniil Medvedev (13258914),50000,-1343,293.75

Dominik Koepfer (13258929),Elina Svitolina (13258922),Karolina Pliskova (13258920),Novak Djokovic (13258917),Serena Williams (13258916),Roger Federer (13258915),49700,-1235,302.3

