Taro Daniel (13504985),Yasutaka Uchiyama (13504980),Petra Kvitova (13504976),Karen Khachanov (13504972),Alexander Zverev (13504966),Novak Djokovic (13504965),50000,-1296,0
Andy Murray (13504984),Fabio Fognini (13504981),Petra Kvitova (13504976),Reilly Opelka (13504973),Alexander Zverev (13504966),Novak Djokovic (13504965),49900,-1281,0
Sam Querrey (13504987),Taro Daniel (13504985),Reilly Opelka (13504973),Dominic Thiem (13504968),Caroline Wozniacki (13504967),Novak Djokovic (13504965),50000,-1184,0
Lucas Pouille (13504988),Naomi Osaka (13504979),John Millman (13504969),Dominic Thiem (13504968),Caroline Wozniacki (13504967),Alexander Zverev (13504966),49800,-173,0
Andy Murray (13504984),Yasutaka Uchiyama (13504980),Petra Kvitova (13504976),Bianca Vanessa Andreescu (13504974),Alexander Zverev (13504966),Novak Djokovic (13504965),49900,-1264,0
Kiki Bertens (13504982),Yasutaka Uchiyama (13504980),Petra Kvitova (13504976),Stefanos Tsitsipas (13504975),Alexander Zverev (13504966),Novak Djokovic (13504965),50000,-1282,0
Sam Querrey (13504987),Yasutaka Uchiyama (13504980),Karen Khachanov (13504972),David Goffin (13504970),John Millman (13504969),Novak Djokovic (13504965),50000,-1195,0
Kiki Bertens (13504982),Fabio Fognini (13504981),Petra Kvitova (13504976),Bianca Vanessa Andreescu (13504974),Alexander Zverev (13504966),Novak Djokovic (13504965),50000,-1285,0
Taro Daniel (13504985),Naomi Osaka (13504979),Petra Kvitova (13504976),Stefanos Tsitsipas (13504975),Alexander Zverev (13504966),Novak Djokovic (13504965),49900,-1278,0
Sam Querrey (13504987),Daria Kasatkina (13504986),David Goffin (13504970),John Millman (13504969),Dominic Thiem (13504968),Novak Djokovic (13504965),49900,-1204,0
Hyeon Chung (13504983),Yasutaka Uchiyama (13504980),Petra Kvitova (13504976),Bianca Vanessa Andreescu (13504974),Alexander Zverev (13504966),Novak Djokovic (13504965),50000,-1278,0
Daria Kasatkina (13504986),Hyeon Chung (13504983),Petra Kvitova (13504976),John Millman (13504969),Alexander Zverev (13504966),Novak Djokovic (13504965),50000,-1306,0
