Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
P,Stefanos Tsitsipas (13628818),Stefanos Tsitsipas,13628818,P,10300,Berankis@Tsitsipas 10/24/2019 11:00AM ET,Tsitsipas,56.41,0.836284086284086,0,-530,-460,-550,0.841269841269841,0.821428571428571,0.846153846153846,1
P,Dominic Thiem (13628828),Dominic Thiem,13628828,P,10000,Verdasco@Thiem 10/24/2019 11:30AM ET,Thiem,57.53,0.804481792717087,0,-400,-410,-425,0.8,0.803921568627451,0.80952380952381,1
P,Stan Wawrinka (13628821),Stan Wawrinka,13628821,P,9500,Wawrinka@Tiafoe 10/24/2019 01:00PM ET,Wawrinka,57.51,0.733332323324142,0,-286,-280,-260,0.740932642487047,0.736842105263158,0.722222222222222,1
P,Roberto Bautista-Agut (13628816),Roberto Bautista-Agut,13628816,P,9400,Bautista-Agut@Gasquet 10/24/2019 09:00AM ET,Bautista-Agut,56.69,0.742135297690853,0,-305,-270,-290,0.753086419753086,0.72972972972973,0.743589743589744,1
P,Gael Monfils (13628830),Gael Monfils,13628830,P,8700,Monfils@Sinner 10/24/2019 12:50PM ET,Monfils,56.23,0.55489417989418,0,-125,-124,-125,0.555555555555556,0.553571428571429,0.555555555555556,1
P,Andrey Rublev (13628825),Andrey Rublev,13628825,P,8500,Rublev@Chung 10/24/2019 09:20AM ET,Rublev,53.01,0.585327635327635,0,-150,-134,-140,0.6,0.572649572649573,0.583333333333333,1
P,Fabio Fognini (13628822),Fabio Fognini,13628822,P,8200,Fognini@Krajinovic 10/24/2019 02:20PM ET,Fognini,47.07,0.548821548821549,0,-125,-120,-120,0.555555555555556,0.545454545454545,0.545454545454545,0
P,Aljaz Bedene (13628827),Aljaz Bedene,13628827,P,7900,Simon@Bedene 10/24/2019 09:40AM ET,Bedene,49.68,0.540422581488064,0,-121,-112,-120,0.547511312217195,0.528301886792453,0.545454545454545,1
P,Gilles Simon (13628826),Gilles Simon,13628826,P,7600,Simon@Bedene 10/24/2019 09:40AM ET,Simon,45.85,0.505731028043401,0,-103,-104,100,0.507389162561576,0.509803921568627,0.5,0
P,Filip Krajinovic (13628823),Filip Krajinovic,13628823,P,7300,Fognini@Krajinovic 10/24/2019 02:20PM ET,Krajinovic,54.58,0.496699669966997,0,102,102,100,0.495049504950495,0.495049504950495,0.5,1
P,Hyeon Chung (13628824),Hyeon Chung,13628824,P,7100,Rublev@Chung 10/24/2019 09:20AM ET,Chung,41.46,0.458793542905692,0,120,114,120,0.454545454545455,0.467289719626168,0.454545454545455,0
P,Jannik Sinner (13628831),Jannik Sinner,13628831,P,6800,Monfils@Sinner 10/24/2019 12:50PM ET,Sinner,39.83,0.489430425401053,0,102,106,105,0.495049504950495,0.485436893203883,0.487804878048781,0
P,Frances Tiafoe (13628820),Frances Tiafoe,13628820,P,6300,Wawrinka@Tiafoe 10/24/2019 01:00PM ET,Tiafoe,46.16,0.30774087024087,0,225,230,220,0.307692307692308,0.303030303030303,0.3125,0
P,Richard Gasquet (13628817),Richard Gasquet,13628817,P,5800,Bautista-Agut@Gasquet 10/24/2019 09:00AM ET,Gasquet,45.11,0.303361809068569,0,235,215,240,0.298507462686567,0.317460317460317,0.294117647058823,0
P,Fernando Verdasco (13628829),Fernando Verdasco,13628829,P,5200,Verdasco@Thiem 10/24/2019 11:30AM ET,Verdasco,47.88,0.235572259414408,0,310,320,345,0.24390243902439,0.238095238095238,0.224719101123595,0
P,Ricardas Berankis (13628819),Ricardas Berankis,13628819,P,4900,Berankis@Tsitsipas 10/24/2019 11:00AM ET,Berankis,41.36,0.205593348450491,0,390,350,425,0.204081632653061,0.222222222222222,0.19047619047619,0
