Entry ID,Contest Name,Contest ID,Entry Fee,P,P,P,P,P,P,,Instructions,,,,,,,,
1681520150,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Stan Wawrinka (13635488),Jan-Lennard Struff (13635485),Aryna Sabalenka (13635478),Roberto Bautista-Agut (13635477),Gael Monfils (13635475),Dominic Thiem (13635474),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1681520151,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Elise Mertens (13635483),Diego Sebastian Schwartzman (13635482),Matteo Berrettini (13635480),Roberto Bautista-Agut (13635477),Alex De Minaur (13635476),Roger Federer (13635473),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1681520152,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Aljaz Bedene (13635486),Elise Mertens (13635483),Matteo Berrettini (13635480),Alex De Minaur (13635476),Dominic Thiem (13635474),Roger Federer (13635473),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1681520153,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Aljaz Bedene (13635486),Matteo Berrettini (13635480),Aryna Sabalenka (13635478),Roberto Bautista-Agut (13635477),Alex De Minaur (13635476),Dominic Thiem (13635474),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1681520154,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Stan Wawrinka (13635488),Andrey Rublev (13635481),Roberto Bautista-Agut (13635477),Alex De Minaur (13635476),Gael Monfils (13635475),Dominic Thiem (13635474),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1681520155,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Pablo Carreno-Busta (13635487),Elise Mertens (13635483),Roberto Bautista-Agut (13635477),Alex De Minaur (13635476),Gael Monfils (13635475),Roger Federer (13635473),,,,,,,,,,
1681520156,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Elise Mertens (13635483),Andrey Rublev (13635481),Karen Khachanov (13635479),Roberto Bautista-Agut (13635477),Alex De Minaur (13635476),Dominic Thiem (13635474),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1681520157,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Jan-Lennard Struff (13635485),Andrey Rublev (13635481),Karen Khachanov (13635479),Aryna Sabalenka (13635478),Roberto Bautista-Agut (13635477),Roger Federer (13635473),,P,Roger Federer (13635473),Roger Federer,13635473,P,10400,Wawrinka@Federer 10/25/2019 01:00PM ET,Federer,68.99
1681520158,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Jan-Lennard Struff (13635485),Reilly Opelka (13635484),Matteo Berrettini (13635480),Aryna Sabalenka (13635478),Dominic Thiem (13635474),Roger Federer (13635473),,P,Dominic Thiem (13635474),Dominic Thiem,13635474,P,9800,Carreno-Busta@Thiem 10/25/2019 09:30AM ET,Thiem,57.61
1681520159,TEN $300 Quarter Jukebox [Just $0.25!]  (Day 5),79128864,$0.25,Pablo Carreno-Busta (13635487),Andrey Rublev (13635481),Aryna Sabalenka (13635478),Roberto Bautista-Agut (13635477),Alex De Minaur (13635476),Roger Federer (13635473),,P,Gael Monfils (13635475),Gael Monfils,13635475,P,9400,Monfils@Bedene 10/25/2019 12:50PM ET,Monfils,56.55
