Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,
39881-105435,M,Alex,Alex de Minaur,de Minaur,87.741935483871,31,24,,,,,,,,0.882345818534065,0
39881-109389,M,Daniil,Daniil Medvedev,Medvedev,107.230004882813,40,23,,,,,,,,0.882982120051086,0
39881-105786,M,Alexander,Alexander Zverev,Zverev,84.1586240571121,29,21,,,,,,,,0.767420895115598,0
39881-105381,M,Denis,Denis Shapovalov,Shapovalov,90.1814778645833,27,19,,,,,,,,0.723347613758573,0
39881-108710,M,Frances,Frances Tiafoe,Tiafoe,77.7095249720982,21,17,,,,,,,,0.565779443197562,0
39881-105881,M,Karen,Karen Khachanov,Khachanov,84.1892874581473,28,17,,,,,,,,0.64696223316913,0
39881-105825,M,Andreas,Andreas Seppi,Seppi,72.0578934518914,19,16,,,,,,,,0.546065493646139,0
39881-105001,M,Dusan,Dusan Lajovic,Lajovic,71.6285691034226,21,16,,,,,,,,0.514346764346764,0
39881-105333,M,Grigor,Grigor Dimitrov,Dimitrov,41.6299987792969,20,16,,,,,,,,0.596949891067538,0
39881-105028,M,Corentin,Corentin Moutet,Moutet,51.794443766276,18,15,,,,,,,,0.531633791060298,0
39881-105290,M,Radu,Radu Albot,Albot,79.8409090909091,22,15,,,,,,,,0.5,0
39881-105487,M,Ugo,Ugo Humbert,Humbert,81.9476202101935,21,15,,,,,,,,0.444226001499145,0
39881-105006,M,Ricardas,Ricardas Berankis,Berankis,59.2562484741211,16,15,,,,,,,,0.498398013536786,0
39881-105746,M,Kyle,Kyle Edmund,Edmund,62,19,15,,,,,,,,0.546701301603262,0
39881-105837,M,Jan-Lennard,Jan-Lennard Struff,Struff,85.5499965122768,28,14,,,,,,,,0.393813593813594,0
39881-105901,M,Taylor,Taylor Fritz,Fritz,91.2964303152902,28,14,,,,,,,,0.477892091416006,0
39881-105770,M,Gilles,Gilles Simon,Simon,77.9142892020089,28,11,,,,,,,,0.322636605026875,0
39881-105380,M,Fernando,Fernando Verdasco,Verdasco,64.307998046875,25,10,,,,,,,,0.277813507120858,0
39881-107813,M,Jeremy,Jeremy Chardy,Chardy,92.828125,32,8,,,,,,,,0.15559718969555,0
39881-105204,M,Laslo,Laslo Djere,Djere,37.8076923076923,13,7,,,,,,,,0.159951608079819,0
