Roberto Bautista-Agut (13663868),Simona Halep (13663882),Karolina Pliskova (13663884),Matteo Berrettini (13663881),John Isner (13663860),Rafael Nadal (13663878),50000,0.0365084,0
Grigor Dimitrov (13663870),Karolina Pliskova (13663884),Alex De Minaur (13663869),Matteo Berrettini (13663881),Denis Shapovalov (13663865),Rafael Nadal (13663878),50000,0.0440078,0
Jo-Wilfried Tsonga (13663880),Karolina Pliskova (13663884),Alex De Minaur (13663869),Dominic Thiem (13663858),Denis Shapovalov (13663865),Rafael Nadal (13663878),49900,0.0388544,0
Marin Cilic (13663872),Karolina Pliskova (13663884),Alex De Minaur (13663869),Matteo Berrettini (13663881),Dominic Thiem (13663858),Novak Djokovic (13663874),50000,0.0399006,0
Kyle Edmund (13663877),Karolina Pliskova (13663884),Alex De Minaur (13663869),Matteo Berrettini (13663881),Dominic Thiem (13663858),Novak Djokovic (13663874),49900,0.038282,0
Milos Raonic (13663859),Simona Halep (13663882),Karolina Pliskova (13663884),Alex De Minaur (13663869),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),50000,0.040387,0
Fabio Fognini (13663864),Karolina Pliskova (13663884),Alex De Minaur (13663869),Matteo Berrettini (13663881),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),50000,0.0378674,0
Benoit Paire (13663867),Karolina Pliskova (13663884),Matteo Berrettini (13663881),Dominic Thiem (13663858),Denis Shapovalov (13663865),Novak Djokovic (13663874),50000,0.0392904,0
Cristian Garin (13663861),Simona Halep (13663882),Karolina Pliskova (13663884),Alex De Minaur (13663869),Rafael Nadal (13663878),Novak Djokovic (13663874),49900,0.039112,0
Taylor Fritz (13663863),Simona Halep (13663882),Karolina Pliskova (13663884),Matteo Berrettini (13663881),Rafael Nadal (13663878),Novak Djokovic (13663874),50000,0.032963,0
Adrian Mannarino (13663879),Karolina Pliskova (13663884),Alex De Minaur (13663869),Denis Shapovalov (13663865),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),49800,0.0199337,0
Corentin Moutet (13663875),Karolina Pliskova (13663884),Denis Shapovalov (13663865),John Isner (13663860),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),49700,0.00802196,0
Grigor Dimitrov (13663870),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),Matteo Berrettini (13663881),John Isner (13663860),Rafael Nadal (13663878),50000,0.0509134,0
Jo-Wilfried Tsonga (13663880),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),Denis Shapovalov (13663865),Gael Monfils (13663866),Rafael Nadal (13663878),50000,0.0460316,0
Marin Cilic (13663872),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),Dominic Thiem (13663858),Denis Shapovalov (13663865),Novak Djokovic (13663874),50000,0.0484675,0
Kyle Edmund (13663877),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),Matteo Berrettini (13663881),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),50000,0.0469484,0
Milos Raonic (13663859),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),Matteo Berrettini (13663881),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),49800,0.0478793,0
Fabio Fognini (13663864),Roberto Bautista-Agut (13663868),Simona Halep (13663882),Bianca Vanessa Andreescu (13663885),Rafael Nadal (13663878),Novak Djokovic (13663874),49900,0.0462138,0
Benoit Paire (13663867),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),Dominic Thiem (13663858),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),50000,0.0480996,0
Cristian Garin (13663861),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),Diego Sebastian Schwartzman (13663876),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),50000,0.0449507,0
Taylor Fritz (13663863),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),David Goffin (13663871),Rafael Nadal (13663878),Novak Djokovic (13663874),49900,0.0378659,0
Adrian Mannarino (13663879),Roberto Bautista-Agut (13663868),Bianca Vanessa Andreescu (13663885),John Isner (13663860),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),49800,0.0230617,0
Corentin Moutet (13663875),Roberto Bautista-Agut (13663868),Denis Shapovalov (13663865),John Isner (13663860),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),49400,0.0085746,0
Jo-Wilfried Tsonga (13663880),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),Dominic Thiem (13663858),Denis Shapovalov (13663865),Novak Djokovic (13663874),50000,0.052526,0
Marin Cilic (13663872),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),Matteo Berrettini (13663881),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),50000,0.0535859,0
Kyle Edmund (13663877),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),Dominic Thiem (13663858),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),50000,0.0520315,0
Milos Raonic (13663859),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),Alex De Minaur (13663869),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),50000,0.0563225,0
Fabio Fognini (13663864),Grigor Dimitrov (13663870),Simona Halep (13663882),Bianca Vanessa Andreescu (13663885),Rafael Nadal (13663878),Novak Djokovic (13663874),49800,0.0506078,0
Benoit Paire (13663867),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),Dominic Thiem (13663858),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),49900,0.0526729,0
Cristian Garin (13663861),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),Alex De Minaur (13663869),Rafael Nadal (13663878),Novak Djokovic (13663874),49900,0.0545444,0
Taylor Fritz (13663863),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),Matteo Berrettini (13663881),Rafael Nadal (13663878),Novak Djokovic (13663874),50000,0.0459692,0
Adrian Mannarino (13663879),Grigor Dimitrov (13663870),Bianca Vanessa Andreescu (13663885),John Isner (13663860),Stefanos Tsitsipas (13663862),Novak Djokovic (13663874),49700,0.0252544,0
Corentin Moutet (13663875),Grigor Dimitrov (13663870),Denis Shapovalov (13663865),John Isner (13663860),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),49300,0.00938987,0
Marin Cilic (13663872),Jo-Wilfried Tsonga (13663880),Bianca Vanessa Andreescu (13663885),Dominic Thiem (13663858),Stefanos Tsitsipas (13663862),Rafael Nadal (13663878),49900,0.0473109,0
