Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,
P,Novak Djokovic (14154644),Novak Djokovic,14154644,P,11900,Djokovic@Struff 01/20/2020 04:15AM ET,Djokovic,67.48,0.32996632996633,0,-10000,,,-1.01010101010101,1,1
P,Stefanos Tsitsipas (14154645),Stefanos Tsitsipas,14154645,P,11800,Caruso@Tsitsipas 01/20/2020 03:00AM ET,Tsitsipas,56.69,,0,-10000,,,-1.01010101010101,1,1
P,Roger Federer (14154646),Roger Federer,14154646,P,11700,Federer@Johnson 01/19/2020 09:30PM ET,Federer,68.02,,0,-2500,,,-1.04166666666667,1,1
P,Serena Williams (14154647),Serena Williams,14154647,P,11600,Williams@Potapova 01/19/2020 08:15PM ET,Williams,64.62,,0,-1667,,,-1.06381620931717,1,1
P,Roberto Bautista-Agut (14154648),Roberto Bautista-Agut,14154648,P,11500,Bautista-Agut@Lopez 01/19/2020 08:15PM ET,Bautista-Agut,56,,0,-1000,,,-1.11111111111111,1,1
P,Ashleigh Barty (14154649),Ashleigh Barty,14154649,P,11400,Tsurenko@Barty 01/20/2020 03:00AM ET,Barty,63.71,,0,-1000,,,-1.11111111111111,1,1
P,Grigor Dimitrov (14154650),Grigor Dimitrov,14154650,P,11300,Dimitrov@Londero 01/19/2020 10:15PM ET,Dimitrov,48.35,,0,-1000,,,-1.11111111111111,1,1
P,Caroline Wozniacki (14154651),Caroline Wozniacki,14154651,P,11200,Wozniacki@Ahn 01/19/2020 09:00PM ET,Wozniacki,53.03,,0,-670,,,-1.17543859649123,1,1
P,Qiang Wang (14154652),Qiang Wang,14154652,P,11100,Parmentier@Wang 01/19/2020 11:00PM ET,Wang,48.3,,0,-590,,,-1.20408163265306,1,1
P,Filip Krajinovic (14154653),Filip Krajinovic,14154653,P,11000,Krajinovic@Halys 01/19/2020 09:30PM ET,Krajinovic,54.63,,0,-560,,,-1.21739130434783,1,1
P,Petra Kvitova (14154654),Petra Kvitova,14154654,P,10900,Kvitova@Siniakova 01/19/2020 09:00PM ET,Kvitova,57.34,,0,-560,,,-1.21739130434783,1,1
P,Madison Keys (14154655),Madison Keys,14154655,P,10800,Kasatkina@Keys 01/19/2020 11:00PM ET,Keys,59.29,,0,-500,,,-1.25,1,1
P,Jannik Sinner (14154656),Jannik Sinner,14154656,P,10700,Purcell@Sinner 01/19/2020 08:15PM ET,Sinner,44.34,,0,-500,,,-1.25,1,1
P,Dayana Yastremska (14154657),Dayana Yastremska,14154657,P,10600,Yastremska@Juvan 01/20/2020 12:15AM ET,Yastremska,50.13,,0,-530,,,-1.23255813953488,1,1
P,Milos Raonic (14154658),Milos Raonic,14154658,P,10500,Raonic@Albot 01/19/2020 08:15PM ET,Raonic,61.93,,0,-480,,,-1.26315789473684,1,1
P,Diego Schwartzman (14154659),Diego Schwartzman,14154659,P,10400,Harris@Schwartzman 01/20/2020 12:00AM ET,Schwartzman,50.85,,0,-400,,,-1.33333333333333,1,1
P,Hubert Hurkacz (14154660),Hubert Hurkacz,14154660,P,10300,Novak@Hurkacz 01/19/2020 10:15PM ET,Hurkacz,46.77,,0,-360,,,-1.38461538461538,1,1
P,Magda Linette (14154661),Magda Linette,14154661,P,10200,Rus@Linette 01/19/2020 09:00PM ET,Linette,47.93,,0,-315,,,-1.46511627906977,1,1
P,Benoit Paire (14154662),Benoit Paire,14154662,P,10100,Stebe@Paire 01/20/2020 12:00AM ET,Paire,46.29,,0,-295,,,-1.51282051282051,1,1
P,Tennys Sandgren (14154663),Tennys Sandgren,14154663,P,10000,Trungelliti@Sandgren 01/19/2020 09:00PM ET,Sandgren,44.34,,0,-315,,,-1.46511627906977,1,1
P,Tommy Paul (14154664),Tommy Paul,14154664,P,9900,Paul@Mayer 01/19/2020 11:00PM ET,Paul,45.65,,0,-315,,,-1.46511627906977,1,1
P,Maria Sakkari (14154665),Maria Sakkari,14154665,P,9800,Sakkari@Gasparyan 01/19/2020 10:15PM ET,Sakkari,48.48,,0,-275,,,-1.57142857142857,1,1
P,Philipp Kohlschreiber (14154666),Philipp Kohlschreiber,14154666,P,9700,Giron@Kohlschreiber 01/19/2020 11:30PM ET,Kohlschreiber,45.75,,0,-278,,,-1.56179775280899,1,1
P,Catherine Mcnally (14154667),Catherine Mcnally,14154667,P,9600,Mcnally@Stosur 01/20/2020 12:15AM ET,Mcnally,34.5,,0,-250,,,-1.66666666666667,1,1
P,Tamara Zidansek (14154668),Tamara Zidansek,14154668,P,9500,Han@Zidansek 01/19/2020 09:00PM ET,Zidansek,40.44,,0,-250,,,-1.66666666666667,1,1
P,Mikhail Kukushkin (14154669),Mikhail Kukushkin,14154669,P,9400,Kukushkin@Polmans 01/19/2020 10:15PM ET,Kukushkin,42.87,,0,-250,,,-1.66666666666667,1,1
P,Alison Riske (14154670),Alison Riske,14154670,P,9300,Wang@Riske 01/19/2020 09:00PM ET,Riske,45.38,,0,-220,,,-1.83333333333333,1,1
P,Alison Van Uytvanck (14154671),Alison Van Uytvanck,14154671,P,9200,Van Uytvanck@Ferro 01/19/2020 11:00PM ET,Van Uytvanck,49.85,,0,-215,,,-1.8695652173913,1,1
P,Marin Cilic (14154672),Marin Cilic,14154672,P,9100,Moutet@Cilic 01/19/2020 09:30PM ET,Cilic,47.28,,0,-190,,,-2.11111111111111,1,1
P,Caroline Garcia (14154673),Caroline Garcia,14154673,P,9000,Garcia@Brengle 01/19/2020 10:15PM ET,Garcia,45.14,,0,-210,,,-1.90909090909091,1,1
P,Prajnesh Gunneswaran (14154674),Prajnesh Gunneswaran,14154674,P,8900,Gunneswaran@Ito 01/19/2020 11:30PM ET,Gunneswaran,30.92,,0,-195,,,-2.05263157894737,1,1
P,Elena Rybakina (14154675),Elena Rybakina,14154675,P,8800,Rybakina@Pera 01/20/2020 12:15AM ET,Rybakina,56.3,,0,-180,,,-2.25,1,1
P,Johanna Konta (14154676),Johanna Konta,14154676,P,8700,Jabeur@Konta 01/20/2020 12:15AM ET,Konta,56.15,,0,-180,,,-2.25,1,1
P,Cori Gauff (14154677),Cori Gauff,14154677,P,8600,Gauff@Williams 01/19/2020 10:15PM ET,Gauff,46.03,,0,-167,,,-2.49253731343284,1,1
P,Shuai Zhang (14154678),Shuai Zhang,14154678,P,8500,Zhang@Stephens 01/20/2020 05:00AM ET,Zhang,41.99,,0,-175,,,-2.33333333333333,1,1
P,Michael Mmoh (14154679),Michael Mmoh,14154679,P,8400,Mmoh@Andujar 01/19/2020 10:15PM ET,Mmoh,41.9,,0,-157,,,-2.75438596491228,1,1
P,Kyle Edmund (14154680),Kyle Edmund,14154680,P,8300,Lajovic@Edmund 01/19/2020 09:00PM ET,Edmund,42.24,,0,-165,,,-2.53846153846154,1,1
P,Barbora Strycova (14154681),Barbora Strycova,14154681,P,8200,Strycova@Cirstea 01/19/2020 08:15PM ET,Strycova,44.69,,0,-175,,,-2.33333333333333,1,1
P,Aliaksandra Sasnovich (14154682),Aliaksandra Sasnovich,14154682,P,8100,Minnen@Sasnovich 01/20/2020 12:15AM ET,Sasnovich,35.95,,0,-157,,,-2.75438596491228,1,1
P,Alejandro Davidovich Fokina (14154683),Alejandro Davidovich Fokina,14154683,P,8000,Gombos@Davidovich Fokina 01/19/2020 10:15PM ET,Davidovich Fokina,30.43,,0,-157,,,-2.75438596491228,1,1
P,Rebecca Peterson (14154684),Rebecca Peterson,14154684,P,7900,Peterson@Hercog 01/20/2020 12:15AM ET,Peterson,48.17,,0,-155,,,-2.81818181818182,1,1
P,Ann Li (14154685),Ann Li,14154685,P,7800,Cabrera@Li 01/19/2020 08:15PM ET,Li,0,,0,-148,,,-3.08333333333333,1,1
P,Shuai Peng (14154686),Shuai Peng,14154686,P,7700,Peng@Hibino 01/20/2020 12:15AM ET,Peng,44.38,,0,-157,,,-2.75438596491228,1,1
P,Cristian Garin (14154687),Cristian Garin,14154687,P,7600,Travaglia@Garin 01/19/2020 09:00PM ET,Garin,48.21,,0,-143,,,-3.32558139534884,1,1
P,Kaia Kanepi (14154688),Kaia Kanepi,14154688,P,7500,Krejcikova@Kanepi 01/19/2020 08:15PM ET,Kanepi,44.29,,0,-120,,,-6,1,1
P,Alexander Bublik (14154689),Alexander Bublik,14154689,P,7400,Bublik@Thompson 01/19/2020 09:30PM ET,Bublik,40.46,,0,-125,,,-5,1,1
P,Reilly Opelka (14154690),Reilly Opelka,14154690,P,7300,Fognini@Opelka 01/19/2020 09:00PM ET,Opelka,55.44,,0,-122,,,-5.54545454545455,1,1
P,Ugo Humbert (14154691),Ugo Humbert,14154691,P,7200,Humbert@Millman 01/20/2020 12:00AM ET,Humbert,46.49,,0,-118,,,-6.55555555555556,1,1
P,John Millman (14154692),John Millman,14154692,P,7100,Humbert@Millman 01/20/2020 12:00AM ET,Millman,46.49,,0,-105,,,-21,1,1
P,Fabio Fognini (14154693),Fabio Fognini,14154693,P,7000,Fognini@Opelka 01/19/2020 09:00PM ET,Fognini,46.05,,0,-103,,,-34.3333333333333,1,1
P,Jordan Thompson (14154694),Jordan Thompson,14154694,P,6900,Bublik@Thompson 01/19/2020 09:30PM ET,Thompson,50.71,,0,102,,,0.495049504950495,1,1
P,Barbora Krejcikova (14154695),Barbora Krejcikova,14154695,P,6800,Krejcikova@Kanepi 01/19/2020 08:15PM ET,Krejcikova,51.2,,0,-105,,,-21,1,1
P,Stefano Travaglia (14154696),Stefano Travaglia,14154696,P,6700,Travaglia@Garin 01/19/2020 09:00PM ET,Travaglia,44.65,,0,117,,,0.460829493087558,1,1
P,Nao Hibino (14154697),Nao Hibino,14154697,P,6600,Peng@Hibino 01/20/2020 12:15AM ET,Hibino,46.62,,0,125,,,0.444444444444444,1,1
P,Lizette Cabrera (14154698),Lizette Cabrera,14154698,P,6500,Cabrera@Li 01/19/2020 08:15PM ET,Cabrera,0,,0,118,,,0.458715596330275,1,1
P,Polona Hercog (14154699),Polona Hercog,14154699,P,6400,Peterson@Hercog 01/20/2020 12:15AM ET,Hercog,42.86,,0,123,,,0.448430493273543,1,1
P,Norbert Gombos (14154700),Norbert Gombos,14154700,P,6300,Gombos@Davidovich Fokina 01/19/2020 10:15PM ET,Gombos,43.68,,0,125,,,0.444444444444444,1,1
P,Dusan Lajovic (14154701),Dusan Lajovic,14154701,P,6200,Lajovic@Edmund 01/19/2020 09:00PM ET,Lajovic,43.94,,0,132,,,0.431034482758621,1,1
P,Sorana Cirstea (14154702),Sorana Cirstea,14154702,P,6100,Strycova@Cirstea 01/19/2020 08:15PM ET,Cirstea,49.7,,0,138,,,0.420168067226891,1,1
P,Greet Minnen (14154703),Greet Minnen,14154703,P,6000,Minnen@Sasnovich 01/20/2020 12:15AM ET,Minnen,46.9,,0,125,,,0.444444444444444,1,1
P,Pablo Andujar (14154704),Pablo Andujar,14154704,P,5900,Mmoh@Andujar 01/19/2020 10:15PM ET,Andujar,38.76,,0,128,,,0.43859649122807,1,1
P,Sloane Stephens (14154705),Sloane Stephens,14154705,P,5800,Zhang@Stephens 01/20/2020 05:00AM ET,Stephens,45.92,,0,138,,,0.420168067226891,1,1
P,Venus Williams (14154706),Venus Williams,14154706,P,5700,Gauff@Williams 01/19/2020 10:15PM ET,Williams,45.76,,0,135,,,0.425531914893617,1,1
P,Ons Jabeur (14154707),Ons Jabeur,14154707,P,5600,Jabeur@Konta 01/20/2020 12:15AM ET,Jabeur,41.92,,0,143,,,0.411522633744856,1,1
P,Corentin Moutet (14154708),Corentin Moutet,14154708,P,5500,Moutet@Cilic 01/19/2020 09:30PM ET,Moutet,31.04,,0,150,,,0.4,1,1
P,Tatsuma Ito (14154709),Tatsuma Ito,14154709,P,5400,Gunneswaran@Ito 01/19/2020 11:30PM ET,Ito,48.04,,0,155,,,0.392156862745098,1,1
P,Bernarda Pera (14154710),Bernarda Pera,14154710,P,5300,Rybakina@Pera 01/20/2020 12:15AM ET,Pera,47.24,,0,145,,,0.408163265306122,1,1
P,Madison Brengle (14154711),Madison Brengle,14154711,P,5200,Garcia@Brengle 01/19/2020 10:15PM ET,Brengle,39.4,,0,165,,,0.377358490566038,1,1
P,Fiona Ferro (14154712),Fiona Ferro,14154712,P,5100,Van Uytvanck@Ferro 01/19/2020 11:00PM ET,Ferro,45.83,,0,170,,,0.37037037037037,1,1
P,Yafan Wang (14154713),Yafan Wang,14154713,P,5000,Wang@Riske 01/19/2020 09:00PM ET,Wang,46.76,,0,170,,,0.37037037037037,1,1
P,Marc Polmans (14154714),Marc Polmans,14154714,P,4900,Kukushkin@Polmans 01/19/2020 10:15PM ET,Polmans,46.23,,0,200,,,0.333333333333333,1,1
P,Na-Lae Han (14154715),Na-Lae Han,14154715,P,4800,Han@Zidansek 01/19/2020 09:00PM ET,Han,66.56,,0,200,,,0.333333333333333,1,1
P,Samantha Stosur (14154716),Samantha Stosur,14154716,P,4700,Mcnally@Stosur 01/20/2020 12:15AM ET,Stosur,39.35,,0,200,,,0.333333333333333,1,1
P,Marcos Giron (14154717),Marcos Giron,14154717,P,4600,Giron@Kohlschreiber 01/19/2020 11:30PM ET,Giron,37.56,,0,215,,,0.317460317460317,1,1
P,Margarita Gasparyan (14154718),Margarita Gasparyan,14154718,P,4500,Sakkari@Gasparyan 01/19/2020 10:15PM ET,Gasparyan,38.25,,0,210,,,0.32258064516129,1,1
P,Marco Trungelliti (14154719),Marco Trungelliti,14154719,P,4400,Trungelliti@Sandgren 01/19/2020 09:00PM ET,Trungelliti,31.57,,0,240,,,0.294117647058823,1,1
P,Leonardo Mayer (14154720),Leonardo Mayer,14154720,P,4300,Paul@Mayer 01/19/2020 11:00PM ET,Mayer,43.36,,0,240,,,0.294117647058823,1,1
P,Cedrik-Marcel Stebe (14154721),Cedrik-Marcel Stebe,14154721,P,4200,Stebe@Paire 01/20/2020 12:00AM ET,Stebe,35.95,,0,230,,,0.303030303030303,1,1
P,Arantxa Rus (14154722),Arantxa Rus,14154722,P,4100,Rus@Linette 01/19/2020 09:00PM ET,Rus,38.36,,0,240,,,0.294117647058823,1,1
P,Dennis Novak (14154723),Dennis Novak,14154723,P,4000,Novak@Hurkacz 01/19/2020 10:15PM ET,Novak,38.44,,0,270,,,0.27027027027027,1,1
