Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,
P,Serena Williams (14165315),Serena Williams,14165315,P,11000,Williams@Zidansek 01/22/2020 03:00AM ET,Williams,78.46,0.99009900990099,0,-10000,,,0.99009900990099
P,Roger Federer (14165316),Roger Federer,14165316,P,10800,Federer@Krajinovic 01/22/2020 04:15AM ET,Federer,84.05,0.970887918486172,0,-3335,,,0.970887918486172
P,Ashleigh Barty (14165317),Ashleigh Barty,14165317,P,10600,Hercog@Barty 01/21/2020 08:15PM ET,Barty,63.32,0.900990099009901,0,-910,,,0.900990099009901
P,Madison Keys (14165318),Madison Keys,14165318,P,10400,Rus@Keys 01/22/2020 05:00AM ET,Keys,71.15,0.943406904357668,0,-1667,,,0.943406904357668
P,Roberto Bautista-Agut (14165319),Roberto Bautista-Agut,14165319,P,10300,Bautista-Agut@Mmoh 01/21/2020 11:30PM ET,Bautista-Agut,81.1,0.893048128342246,0,-835,,,0.893048128342246
P,Stefanos Tsitsipas (14165320),Stefanos Tsitsipas,14165320,P,10200,Kohlschreiber@Tsitsipas 01/21/2020 10:05PM ET,Tsitsipas,88.5,0.877300613496933,0,-715,,,0.877300613496933
P,Diego Schwartzman (14165321),Diego Schwartzman,14165321,P,10100,Davidovich Fokina@Schwartzman 01/21/2020 09:30PM ET,Schwartzman,80.2,0.841269841269841,0,-530,,,0.841269841269841
P,Ekaterina Alexandrova (14165322),Ekaterina Alexandrova,14165322,P,10000,Krejcikova@Alexandrova 01/21/2020 08:15PM ET,Alexandrova,69.78,0.807692307692308,0,-420,,,0.807692307692308
P,Matteo Berrettini (14165323),Matteo Berrettini,14165323,P,9800,Sandgren@Berrettini 01/21/2020 09:30PM ET,Berrettini,80.05,0.793814432989691,0,-385,,,0.793814432989691
P,Milos Raonic (14165324),Milos Raonic,14165324,P,9600,Raonic@Garin 01/21/2020 10:15PM ET,Raonic,56.5,0.746835443037975,0,-295,,,0.746835443037975
P,Maria Sakkari (14165325),Maria Sakkari,14165325,P,9500,Sakkari@Hibino 01/21/2020 11:30PM ET,Sakkari,52.8,0.789473684210526,0,-375,,,0.789473684210526
P,Qiang Wang (14165326),Qiang Wang,14165326,P,9400,Ferro@Wang 01/22/2020 12:15AM ET,Wang,50.11,0.759036144578313,0,-315,,,0.759036144578313
