Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Alison Riske (14165332),Marin Cilic (14165330),Dusan Lajovic (14165327),50000,0.0798257,0
Marton Fucsovics (14165340),Ons Jabeur (14165338),Cori Gauff (14165336),Dayana Yastremska (14165334),Dusan Lajovic (14165327),Maria Sakkari (14165325),50000,0.0717243,0
John Millman (14165341),Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),49700,0.0806988,0
John Millman (14165341),Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.0806988,0
Caroline Garcia (14165342),Jannik Sinner (14165339),Cori Gauff (14165336),Marin Cilic (14165330),Dusan Lajovic (14165327),Maria Sakkari (14165325),50000,0.0722261,0
Yoshihito Nishioka (14165343),Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Serena Williams (14165315),49900,0.0838543,0
Jordan Thompson (14165344),Ons Jabeur (14165338),Cori Gauff (14165336),Elena Rybakina (14165329),Dusan Lajovic (14165327),Maria Sakkari (14165325),50000,0.0745682,0
Sorana Cirstea (14165345),Jannik Sinner (14165339),Ons Jabeur (14165338),Guido Pella (14165331),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0723544,0
Caroline Wozniacki (14165346),Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0793791,0
Lin Zhu (14165347),Jannik Sinner (14165339),Ons Jabeur (14165338),Grigor Dimitrov (14165328),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0728478,0
Gregoire Barrere (14165348),Ons Jabeur (14165338),Cori Gauff (14165336),Alison Riske (14165332),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0699085,0
Benoit Paire (14165349),Jannik Sinner (14165339),Ons Jabeur (14165338),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0665692,0
Tommy Paul (14165350),Ons Jabeur (14165338),Cori Gauff (14165336),Marin Cilic (14165330),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0639887,0
Greet Minnen (14165351),Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Madison Keys (14165318),Serena Williams (14165315),50000,0.0652944,0
Marc Polmans (14165352),Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Madison Keys (14165318),Serena Williams (14165315),49900,0.0532665,0
Fiona Ferro (14165353),Jannik Sinner (14165339),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.0606758,0
Nao Hibino (14165354),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0562967,0
Cristian Garin (14165355),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.0693643,0
Tennys Sandgren (14165356),Jannik Sinner (14165339),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0571059,0
Barbora Krejcikova (14165357),Jannik Sinner (14165339),Cori Gauff (14165336),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0575586,0
Alejandro Davidovich Fokina (14165358),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0521902,0
Philipp Kohlschreiber (14165359),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0425016,0
Michael Mmoh (14165360),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),49800,0.0385404,0
Michael Mmoh (14165360),Ons Jabeur (14165338),Cori Gauff (14165336),Maria Sakkari (14165325),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0385404,0
Polona Hercog (14165361),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49800,0.0364299,0
Polona Hercog (14165361),Ons Jabeur (14165338),Cori Gauff (14165336),Maria Sakkari (14165325),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0364299,0
Arantxa Rus (14165362),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Roger Federer (14165316),50000,0.0262438,0
Filip Krajinovic (14165363),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0176701,0
Tamara Zidansek (14165364),Ons Jabeur (14165338),Grigor Dimitrov (14165328),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0139764,0
Tatsuma Ito (14165365),Ons Jabeur (14165338),Dusan Lajovic (14165327),Maria Sakkari (14165325),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0147386,0
John Millman (14165341),Marton Fucsovics (14165340),Ons Jabeur (14165338),Cori Gauff (14165336),Dusan Lajovic (14165327),Roger Federer (14165316),49900,0.0713271,0
Caroline Garcia (14165342),Marton Fucsovics (14165340),Cori Gauff (14165336),Grigor Dimitrov (14165328),Dusan Lajovic (14165327),Maria Sakkari (14165325),50000,0.0646297,0
Yoshihito Nishioka (14165343),Marton Fucsovics (14165340),Ons Jabeur (14165338),Cori Gauff (14165336),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0762559,0
Jordan Thompson (14165344),Marton Fucsovics (14165340),Ons Jabeur (14165338),Cori Gauff (14165336),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0667242,0
Sorana Cirstea (14165345),Marton Fucsovics (14165340),Ons Jabeur (14165338),Elena Rybakina (14165329),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0662843,0
Caroline Wozniacki (14165346),Marton Fucsovics (14165340),Ons Jabeur (14165338),Grigor Dimitrov (14165328),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0693659,0
Lin Zhu (14165347),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0645718,0
