Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,
P,Novak Djokovic (14172628),Novak Djokovic,14172628,P,11200,Djokovic@Nishioka 01/23/2020 09:30PM ET,Djokovic,76.4,0.988876665444322,0,-10000,-8000,,0.99009900990099,0.987654320987654,,1
P,Roger Federer (14172629),Roger Federer,14172629,P,10800,Federer@Millman 01/24/2020 04:15AM ET,Federer,88.72,0.948064605959343,0,-1667,-2000,-1800,0.952380952380952,0.944444444444444,0.947368421052632,1
P,Serena Williams (14172630),Serena Williams,14172630,P,10600,Williams@Wang 01/23/2020 08:15PM ET,Williams,79.01,0.908915891589159,0,-910,-1100,-1000,0.900990099009901,0.916666666666667,0.909090909090909,0
P,Naomi Osaka (14172631),Naomi Osaka,14172631,P,10200,Gauff@Osaka 01/24/2020 03:00AM ET,Osaka,66.78,0.826367119470568,0,-435,-410,-450,0.833333333333333,0.827586206896552,0.818181818181818,0
P,Ashleigh Barty (14172632),Ashleigh Barty,14172632,P,10000,Rybakina@Barty 01/23/2020 07:00PM ET,Barty,65.31,0.778231107484473,0,-345,-330,-325,0.789473684210526,0.767441860465116,0.777777777777778,1
P,Madison Keys (14172633),Madison Keys,14172633,P,9600,Sakkari@Keys 01/23/2020 10:15PM ET,Keys,71.86,0.750223545404268,0,-240,-250,-230,0.759036144578313,0.761904761904762,0.72972972972973,0
P,Stefanos Tsitsipas (14172634),Stefanos Tsitsipas,14172634,P,9400,Raonic@Tsitsipas 01/24/2020 03:00AM ET,Tsitsipas,88.5,0.73625640292307,0,-265,-250,-250,0.735449735449735,0.743589743589744,0.72972972972973,0
P,Roberto Bautista-Agut (14172635),Roberto Bautista-Agut,14172635,P,9200,Bautista-Agut@Cilic 01/23/2020 09:45PM ET,Bautista-Agut,77.48,0.740051638785816,0,-265,-250,-250,0.746835443037975,0.743589743589744,0.72972972972973,0
P,Diego Schwartzman (14172636),Diego Schwartzman,14172636,P,9000,Lajovic@Schwartzman 01/23/2020 07:00PM ET,Schwartzman,79.75,0.725135623869801,0,-245,-250,-240,0.746835443037975,0.714285714285714,0.714285714285714,1
P,Caroline Wozniacki (14172637),Caroline Wozniacki,14172637,P,8800,Wozniacki@Jabeur 01/23/2020 08:30PM ET,Wozniacki,69.44,0.708163210514468,0,-230,-240,-230,0.726027397260274,0.701492537313433,0.696969696969697,0
P,Sofia Kenin (14172638),Sofia Kenin,14172638,P,8600,Kenin@Zhang 01/24/2020 05:00AM ET,Kenin,56.16,0.659217737227912,0,-200,-174,-175,0.672131147540984,0.65034965034965,0.655172413793103,1
P,Petra Kvitova (14172639),Petra Kvitova,14172639,P,8400,Kvitova@Alexandrova 01/23/2020 09:00PM ET,Kvitova,69.11,0.659003831417624,0,-186,-178,-170,0.666666666666667,0.655172413793103,0.655172413793103,1
P,Sam Querrey (14172640),Sam Querrey,14172640,P,8200,Querrey@Sandgren 01/24/2020 12:15AM ET,Querrey,59.56,0.601968759834241,0,-134,-144,-135,0.610894941634241,0.603174603174603,0.591836734693878,0
P,Marton Fucsovics (14172641),Marton Fucsovics,14172641,P,8000,Paul@Fucsovics 01/23/2020 08:15PM ET,Fucsovics,58.3,0.60954758932287,0,-148,-136,-135,0.625468164794007,0.603174603174603,0.6,1
P,Julia Goerges (14172642),Julia Goerges,14172642,P,7700,Goerges@Riske 01/23/2020 11:00PM ET,Goerges,58.51,0.539810690061488,0,-121,-124,-125,0.547511312217195,0.537037037037037,0.534883720930232,0
P,Fabio Fognini (14172643),Fabio Fognini,14172643,P,7500,Fognini@Pella 01/23/2020 11:45PM ET,Fognini,49.42,0.512969085360078,0,102,108,100,0.516908212560386,0.509803921568627,0.51219512195122,1
P,Guido Pella (14172644),Guido Pella,14172644,P,7300,Fognini@Pella 01/23/2020 11:45PM ET,Pella,71.2,0.532689776217639,0,-125,-128,-120,0.534883720930232,0.528301886792453,0.534883720930232,0
P,Alison Riske (14172645),Alison Riske,14172645,P,7100,Goerges@Riske 01/23/2020 11:00PM ET,Riske,58.29,0.506528094837599,0,-103,106,105,0.507389162561576,0.5,0.51219512195122,1
P,Tommy Paul (14172646),Tommy Paul,14172646,P,6900,Paul@Fucsovics 01/23/2020 08:15PM ET,Paul,63.42,0.431699044094974,0,120,116,115,0.425531914893617,0.434782608695652,0.434782608695652,0
P,Tennys Sandgren (14172647),Tennys Sandgren,14172647,P,6700,Querrey@Sandgren 01/24/2020 12:15AM ET,Sandgren,55.56,0.443788921665028,0,108,120,115,0.444444444444444,0.442477876106195,0.444444444444444,1
P,Ekaterina Alexandrova (14172648),Ekaterina Alexandrova,14172648,P,6500,Kvitova@Alexandrova 01/23/2020 09:00PM ET,Alexandrova,70.92,0.381217754831466,0,150,150,150,0.384615384615385,0.381679389312977,0.377358490566038,0
P,Shuai Zhang (14172649),Shuai Zhang,14172649,P,6300,Kenin@Zhang 01/24/2020 05:00AM ET,Zhang,60.97,0.382737209149389,0,155,148,155,0.380228136882129,0.390625,0.377358490566038,0
P,Dusan Lajovic (14172650),Dusan Lajovic,14172650,P,6100,Lajovic@Schwartzman 01/23/2020 07:00PM ET,Lajovic,80.42,0.31782660021687,0,195,205,200,0.303030303030303,0.327868852459016,0.32258064516129,0
P,Ons Jabeur (14172651),Ons Jabeur,14172651,P,5900,Wozniacki@Jabeur 01/23/2020 08:30PM ET,Jabeur,44.73,0.335848095263318,0,180,198,190,0.32258064516129,0.340136054421769,0.344827586206897,1
