Tennys Sandgren (14172647),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Petra Kvitova (14172639),Sofia Kenin (14172638),45600,0.0239326,0
Ekaterina Alexandrova (14172648),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Sofia Kenin (14172638),45200,0.018779,0
Shuai Zhang (14172649),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),44800,0.0188478,0
Dusan Lajovic (14172650),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),44600,0.0156513,0
Ons Jabeur (14172651),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),44400,0.0165387,0
Marin Cilic (14172652),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),44200,0.0148484,0
Milos Raonic (14172653),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),44000,0.0151595,0
Maria Sakkari (14172654),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),43800,0.0144921,0
Elena Rybakina (14172655),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),43600,0.0130322,0
Cori Gauff (14172656),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),43400,0.0107087,0
Qiang Wang (14172657),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),43000,0.00640036,0
John Millman (14172658),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),42500,0.00422241,0
Yoshihito Nishioka (14172659),Tommy Paul (14172646),Guido Pella (14172644),Julia Goerges (14172642),Sam Querrey (14172640),Petra Kvitova (14172639),42000,0.00158544,0
Ekaterina Alexandrova (14172648),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sofia Kenin (14172638),44800,0.019548,0
Shuai Zhang (14172649),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),44400,0.0196195,0
Dusan Lajovic (14172650),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),44200,0.0162921,0
Ons Jabeur (14172651),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),44000,0.0172159,0
Marin Cilic (14172652),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),43800,0.0154564,0
Milos Raonic (14172653),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),43600,0.0157802,0
Maria Sakkari (14172654),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),43400,0.0150855,0
Elena Rybakina (14172655),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),43200,0.0135659,0
Cori Gauff (14172656),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),43000,0.0111472,0
Qiang Wang (14172657),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),42600,0.00666244,0
John Millman (14172658),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),42100,0.00439531,0
Yoshihito Nishioka (14172659),Tennys Sandgren (14172647),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Petra Kvitova (14172639),41600,0.00165036,0
Shuai Zhang (14172649),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),44000,0.0153947,0
Dusan Lajovic (14172650),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43800,0.0127838,0
Ons Jabeur (14172651),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43600,0.0135087,0
Marin Cilic (14172652),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43400,0.012128,0
Milos Raonic (14172653),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43200,0.0123821,0
Maria Sakkari (14172654),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43000,0.011837,0
Elena Rybakina (14172655),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),42800,0.0106446,0
Cori Gauff (14172656),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),42600,0.00874681,0
Qiang Wang (14172657),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),42200,0.00522777,0
John Millman (14172658),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),41700,0.00344883,0
Yoshihito Nishioka (14172659),Ekaterina Alexandrova (14172648),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),41200,0.00129497,0
Dusan Lajovic (14172650),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43600,0.0128348,0
Ons Jabeur (14172651),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43400,0.0135625,0
Marin Cilic (14172652),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43200,0.0121764,0
Milos Raonic (14172653),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43000,0.0124315,0
Maria Sakkari (14172654),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),42800,0.0118842,0
Elena Rybakina (14172655),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),42600,0.0106871,0
Cori Gauff (14172656),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),42400,0.00878167,0
Qiang Wang (14172657),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),42000,0.0052486,0
John Millman (14172658),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),41500,0.00346258,0
Yoshihito Nishioka (14172659),Shuai Zhang (14172649),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),41000,0.00130013,0
Ons Jabeur (14172651),Dusan Lajovic (14172650),Guido Pella (14172644),Julia Goerges (14172642),Marton Fucsovics (14172641),Sam Querrey (14172640),43200,0.0112624,0
