Tennys Sandgren (14172647),Tommy Paul (14172646),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Stefanos Tsitsipas (14172634),50000,0.0536045,0
Ekaterina Alexandrova (14172648),Tommy Paul (14172646),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Madison Keys (14172633),50000,0.0469202,0
Shuai Zhang (14172649),Tommy Paul (14172646),Petra Kvitova (14172639),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Serena Williams (14172630),50000,0.0508213,0
Dusan Lajovic (14172650),Tommy Paul (14172646),Petra Kvitova (14172639),Caroline Wozniacki (14172637),Roberto Bautista-Agut (14172635),Serena Williams (14172630),50000,0.0430703,0
Ons Jabeur (14172651),Tommy Paul (14172646),Petra Kvitova (14172639),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Serena Williams (14172630),50000,0.0466033,0
Marin Cilic (14172652),Tommy Paul (14172646),Petra Kvitova (14172639),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Novak Djokovic (14172628),50000,0.0435596,0
Milos Raonic (14172653),Tommy Paul (14172646),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Serena Williams (14172630),50000,0.0459034,0
Maria Sakkari (14172654),Tommy Paul (14172646),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Roger Federer (14172629),50000,0.0457726,0
Elena Rybakina (14172655),Tommy Paul (14172646),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Roger Federer (14172629),49800,0.0411617,0
Cori Gauff (14172656),Tommy Paul (14172646),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Novak Djokovic (14172628),50000,0.035279,0
Qiang Wang (14172657),Tommy Paul (14172646),Petra Kvitova (14172639),Roberto Bautista-Agut (14172635),Naomi Osaka (14172631),Roger Federer (14172629),50000,0.0214382,0
John Millman (14172658),Tommy Paul (14172646),Petra Kvitova (14172639),Caroline Wozniacki (14172637),Serena Williams (14172630),Novak Djokovic (14172628),49900,0.0155264,0
Yoshihito Nishioka (14172659),Tommy Paul (14172646),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Serena Williams (14172630),Roger Federer (14172629),50000,0.00642708,0
Ekaterina Alexandrova (14172648),Tennys Sandgren (14172647),Marton Fucsovics (14172641),Caroline Wozniacki (14172637),Roberto Bautista-Agut (14172635),Roger Federer (14172629),50000,0.0512378,0
Shuai Zhang (14172649),Tennys Sandgren (14172647),Petra Kvitova (14172639),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roger Federer (14172629),50000,0.0544949,0
Dusan Lajovic (14172650),Tennys Sandgren (14172647),Petra Kvitova (14172639),Caroline Wozniacki (14172637),Roberto Bautista-Agut (14172635),Roger Federer (14172629),50000,0.0461836,0
Ons Jabeur (14172651),Tennys Sandgren (14172647),Petra Kvitova (14172639),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Roger Federer (14172629),50000,0.049972,0
Marin Cilic (14172652),Tennys Sandgren (14172647),Sofia Kenin (14172638),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Novak Djokovic (14172628),50000,0.044794,0
Milos Raonic (14172653),Tennys Sandgren (14172647),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Roger Federer (14172629),50000,0.0492215,0
Maria Sakkari (14172654),Tennys Sandgren (14172647),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Roger Federer (14172629),49800,0.0470545,0
Elena Rybakina (14172655),Tennys Sandgren (14172647),Caroline Wozniacki (14172637),Diego Schwartzman (14172636),Roberto Bautista-Agut (14172635),Novak Djokovic (14172628),50000,0.044136,0
