Donna Vekic (14174709),Belinda Bencic (14174707),Gael Monfils (14174706),Angelique Kerber (14174705),Elina Svitolina (14174704),Andrey Rublev (14174703),50000,0.056891,0
Iga Swiatek (14174710),Belinda Bencic (14174707),Gael Monfils (14174706),Elina Svitolina (14174704),Andrey Rublev (14174703),Elise Mertens (14174702),50000,0.0522853,0
John Isner (14174711),Donna Vekic (14174709),Belinda Bencic (14174707),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),50000,0.0564708,0
Anett Kontaveit (14174712),Donna Vekic (14174709),Gael Monfils (14174706),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),50000,0.055886,0
Ernests Gulbis (14174713),Donna Vekic (14174709),Angelique Kerber (14174705),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),50000,0.0475397,0
Camila Giorgi (14174714),Belinda Bencic (14174707),Gael Monfils (14174706),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),50000,0.0559526,0
Garbine Muguruza (14174715),Donna Vekic (14174709),Gael Monfils (14174706),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),50000,0.0526727,0
David Goffin (14174716),Donna Vekic (14174709),Gael Monfils (14174706),Elise Mertens (14174702),Alexander Zverev (14174700),Karolina Pliskova (14174698),50000,0.0520529,0
Catherine Bellis (14174717),Gael Monfils (14174706),Angelique Kerber (14174705),Andrey Rublev (14174703),Kiki Bertens (14174701),Karolina Pliskova (14174698),50000,0.0469611,0
Fernando Verdasco (14174718),Gael Monfils (14174706),Elina Svitolina (14174704),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),49900,0.0503437,0
Zarina Diyas (14174719),Gael Monfils (14174706),Elina Svitolina (14174704),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),49800,0.0506171,0
Karen Khachanov (14174720),Gael Monfils (14174706),Elina Svitolina (14174704),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),50000,0.0519738,0
