Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,
P,Novak Djokovic (14185689),Novak Djokovic,14185689,P,11000,Djokovic@Schwartzman 01/25/2020 10:00PM ET,Djokovic,79.7,0.962537910118555,0,-2500,-2300,-3000,0.961538461538462,0.958333333333333,0.967741935483871,1
P,Roger Federer (14185688),Roger Federer,14185688,P,10400,Federer@Fucsovics 01/26/2020 04:15AM ET,Federer,78.38,0.867424242424243,0,-670,-700,-600,0.87012987012987,0.875,0.857142857142857,1
P,Ashleigh Barty (14185687),Ashleigh Barty,14185687,P,9800,Riske@Barty 01/26/2020 03:00AM ET,Barty,67.43,0.807502374169041,0,-420,-440,-400,0.807692307692308,0.814814814814815,0.8,1
P,Petra Kvitova (14185686),Petra Kvitova,14185686,P,9400,Kvitova@Sakkari 01/25/2020 08:00PM ET,Kvitova,71.39,0.723347613758573,0,-265,-270,-250,0.726027397260274,0.72972972972973,0.714285714285714,1
P,Qiang Wang (14185685),Qiang Wang,14185685,P,8800,Wang@Jabeur 01/25/2020 11:00PM ET,Wang,56.76,0.680779569892473,0,-220,-210,-210,0.6875,0.67741935483871,0.67741935483871,0
P,Milos Raonic (14185684),Milos Raonic,14185684,P,8600,Cilic@Raonic 01/25/2020 09:00PM ET,Raonic,67.52,0.637158647387288,0,-177,-180,-170,0.63898916967509,0.642857142857143,0.62962962962963,1
P,Fabio Fognini (14185683),Fabio Fognini,14185683,P,8200,Fognini@Sandgren 01/26/2020 12:00AM ET,Fognini,55.98,0.608305784776373,0,-159,-152,-155,0.613899613899614,0.603174603174603,0.607843137254902,0
P,Sofia Kenin (14185682),Sofia Kenin,14185682,P,8000,Kenin@Gauff 01/25/2020 10:30PM ET,Kenin,57.91,0.612121212121212,0,-175,-150,-150,0.636363636363636,0.6,0.6,1
P,Cori Gauff (14185681),Cori Gauff,14185681,P,7000,Kenin@Gauff 01/25/2020 10:30PM ET,Gauff,57.63,0.431699044094974,0,135,130,130,0.425531914893617,0.434782608695652,0.434782608695652,0
P,Tennys Sandgren (14185680),Tennys Sandgren,14185680,P,6800,Fognini@Sandgren 01/26/2020 12:00AM ET,Sandgren,58.52,0.432970338272446,0,128,130,135,0.43859649122807,0.434782608695652,0.425531914893617,1
P,Marin Cilic (14185679),Marin Cilic,14185679,P,6400,Cilic@Raonic 01/25/2020 09:00PM ET,Cilic,76.93,0.403455818022747,0,140,154,150,0.416666666666667,0.393700787401575,0.4,0
P,Ons Jabeur (14185678),Ons Jabeur,14185678,P,6000,Wang@Jabeur 01/25/2020 11:00PM ET,Jabeur,46.72,0.366323412552123,0,170,174,175,0.37037037037037,0.364963503649635,0.363636363636364,1
P,Maria Sakkari (14185677),Maria Sakkari,14185677,P,5600,Kvitova@Sakkari 01/25/2020 08:00PM ET,Sakkari,58.26,0.320983165873435,0,205,220,210,0.327868852459016,0.3125,0.32258064516129,0
P,Alison Riske (14185676),Alison Riske,14185676,P,5000,Riske@Barty 01/26/2020 03:00AM ET,Riske,56.15,0.238185272218171,0,310,330,320,0.24390243902439,0.232558139534884,0.238095238095238,0
P,Marton Fucsovics (14185675),Marton Fucsovics,14185675,P,4800,Federer@Fucsovics 01/26/2020 04:15AM ET,Fucsovics,62.73,0.171840765834092,0,480,520,450,0.172413793103448,0.161290322580645,0.181818181818182,0
P,Diego Schwartzman (14185674),Diego Schwartzman,14185674,P,4000,Djokovic@Schwartzman 01/25/2020 10:00PM ET,Schwartzman,79.05,0.066865079365079,0,1300,1500,1400,0.071428571428572,0.0625,0.066666666666667,0
