Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game Info,Team,Opponent,Injury Indicator,Injury Details,Tier,,,DK,FanDuel,BetUS
43000-105798,M,Novak,Novak Djokovic,Djokovic,158.46666463216147,3,26,Djokovic@Schwartzman 01/25/2020 10:00PM ET,,,,,,0.962537910118555,0,-2500,-2300,-3000
43000-105394,M,Roger,Roger Federer,Federer,153.46666463216147,3,23,Federer@Fucsovics 01/26/2020 04:15AM ET,,,,,,0.867424242424243,0,-670,-700,-600
43000-105332,F,Ashleigh,Ashleigh Barty,Barty,139.7375030517578,8,20,Riske@Barty 01/26/2020 03:00AM ET,,,,,,0.807502374169041,0,-420,-440,-400
43000-110693,F,Petra,Petra Kvitova,Kvitova,150.12857491629464,7,18,Kvitova@Sakkari 01/25/2020 08:00PM ET,,,,,,0.723347613758573,0,-265,-270,-250
43000-105750,F,Qiang,Qiang Wang,Wang,116.61428397042411,7,18,Wang@Jabeur 01/25/2020 11:00PM ET,,,,,,0.680779569892473,0,-220,-210,-210
43000-108409,M,Milos,Milos Raonic,Raonic,133.875,4,17,Cilic@Raonic 01/25/2020 09:00PM ET,,,,,,0.637158647387288,0,-177,-180,-170
43000-105890,M,Fabio,Fabio Fognini,Fognini,113.19999694824219,4,16,Fognini@Sandgren 01/26/2020 12:00AM ET,,,,,,0.608305784776373,0,-159,-152,-155
43000-105321,F,Sofia,Sofia Kenin,Kenin,119.5,7,16,Kenin@Gauff 01/25/2020 10:30PM ET,,,,,,0.612121212121212,0,-175,-150,-150
43000-105553,F,Cori,Cori Gauff,Gauff,120.74000244140625,5,15,Kenin@Gauff 01/25/2020 10:30PM ET,,,,,,0.431699044094974,0,135,130,130
43000-110361,M,Tennys,Tennys Sandgren,Sandgren,117.75,6,14,Fognini@Sandgren 01/26/2020 12:00AM ET,,,,,,0.432970338272446,0,128,130,135
43000-105334,M,Marin,Marin Cilic,Cilic,153.53333536783853,3,13,Cilic@Raonic 01/25/2020 09:00PM ET,,,,,,0.403455818022747,0,140,154,150
43000-108449,F,Ons,Ons Jabeur,Jabeur,99.5,8,12,Wang@Jabeur 01/25/2020 11:00PM ET,,,,,,0.366323412552123,0,170,174,175
43000-105388,F,Maria,Maria Sakkari,Sakkari,120.65000406901042,6,11,Kvitova@Sakkari 01/25/2020 08:00PM ET,,,,,,0.320983165873435,0,205,220,210
43000-105839,F,Alison,Alison Riske,Riske,117.2999979654948,6,10,Riske@Barty 01/26/2020 03:00AM ET,,,,,,0.238185272218171,0,310,330,320
43000-104995,M,Marton,Marton Fucsovics,Fucsovics,116.98750305175781,8,8,Federer@Fucsovics 01/26/2020 04:15AM ET,,,,,,0.171840765834092,0,480,520,450
43000-105512,M,Diego,Diego Schwartzman,Schwartzman,158.46666463216147,3,6,Djokovic@Schwartzman 01/25/2020 10:00PM ET,,,,,,0.066865079365079,0,1300,1500,1400
