entry_id,contest_id,contest_name,P,P,P,P,P,P,,Instructions,,,,,,,,,,,,,,
1970561958,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-108449:Ons Jabeur,43000-105321:Sofia Kenin,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
1970563612,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105388:Maria Sakkari,43000-105321:Sofia Kenin,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-105750:Qiang Wang,43000-105332:Ashleigh Barty,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
1970563613,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105839:Alison Riske,43000-105321:Sofia Kenin,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-105750:Qiang Wang,43000-105394:Roger Federer,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
1970563614,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105839:Alison Riske,43000-105321:Sofia Kenin,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105394:Roger Federer,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
1970563615,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-104995:Marton Fucsovics,43000-105321:Sofia Kenin,43000-108409:Milos Raonic,43000-105750:Qiang Wang,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,,,,,,,,,,,,,,,,
1970563616,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-104995:Marton Fucsovics,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-105750:Qiang Wang,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
1970563617,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105512:Diego Schwartzman,43000-105321:Sofia Kenin,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,43000-105394:Roger Federer,,43000-105798:Novak Djokovic,43000-105798,M,Novak,Novak Djokovic,Djokovic,158.466664632161,3,26,,,,,,
1970563618,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105512:Diego Schwartzman,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,43000-105394:Roger Federer,,43000-105394:Roger Federer,43000-105394,M,Roger,Roger Federer,Federer,153.466664632161,3,23,,,,,,
1970563621,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105334:Marin Cilic,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-105750:Qiang Wang,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,,43000-105332:Ashleigh Barty,43000-105332,F,Ashleigh,Ashleigh Barty,Barty,139.737503051758,8,20,,,,,,
1970563622,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-108449:Ons Jabeur,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,,43000-110693:Petra Kvitova,43000-110693,F,Petra,Petra Kvitova,Kvitova,150.128574916295,7,18,,,,,,
1970563623,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105388:Maria Sakkari,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-105750:Qiang Wang,43000-105332:Ashleigh Barty,,43000-105750:Qiang Wang,43000-105750,F,Qiang,Qiang Wang,Wang,116.614283970424,7,18,,,,,,
1970563626,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105388:Maria Sakkari,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-105750:Qiang Wang,43000-105394:Roger Federer,,43000-108409:Milos Raonic,43000-108409,M,Milos,Milos Raonic,Raonic,133.875,4,17,,,,,,
1970563627,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105839:Alison Riske,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105394:Roger Federer,,43000-105890:Fabio Fognini,43000-105890,M,Fabio,Fabio Fognini,Fognini,113.199996948242,4,16,,,,,,
1970563631,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105839:Alison Riske,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-105750:Qiang Wang,43000-110693:Petra Kvitova,43000-105394:Roger Federer,,43000-105321:Sofia Kenin,43000-105321,F,Sofia,Sofia Kenin,Kenin,119.5,7,16,,,,,,
1970563635,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-104995:Marton Fucsovics,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-105750:Qiang Wang,43000-105798:Novak Djokovic,,43000-105553:Cori Gauff,43000-105553,F,Cori,Cori Gauff,Gauff,120.740002441406,5,15,,,,,,
1970563637,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-104995:Marton Fucsovics,43000-105553:Cori Gauff,43000-105890:Fabio Fognini,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105798:Novak Djokovic,,43000-110361:Tennys Sandgren,43000-110361,M,Tennys,Tennys Sandgren,Sandgren,117.75,6,14,,,,,,
1970563638,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105512:Diego Schwartzman,43000-105553:Cori Gauff,43000-108409:Milos Raonic,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,43000-105394:Roger Federer,,43000-105334:Marin Cilic,43000-105334,M,Marin,Marin Cilic,Cilic,153.533335367839,3,13,,,,,,
1970563639,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105512:Diego Schwartzman,43000-105553:Cori Gauff,43000-105750:Qiang Wang,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,43000-105394:Roger Federer,,43000-108449:Ons Jabeur,43000-108449,F,Ons,Ons Jabeur,Jabeur,99.5,8,12,,,,,,
1970563642,43000-234190512,$12K Sat TEN Smash ($2K to 1st),43000-105334:Marin Cilic,43000-110361:Tennys Sandgren,43000-105321:Sofia Kenin,43000-105750:Qiang Wang,43000-110693:Petra Kvitova,43000-105332:Ashleigh Barty,,43000-105388:Maria Sakkari,43000-105388,F,Maria,Maria Sakkari,Sakkari,120.65000406901,6,11,,,,,,
