Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FD,BetUS,,,
P,Rafael Nadal (14187340),Rafael Nadal,14187340,P,10300,Kyrgios@Nadal 01/27/2020 03:00AM ET,Nadal,84.93,0.837606837606838,0,-500,-550,-500,0.833333333333333,0.846153846153846,0.833333333333333
P,Daniil Medvedev (14187341),Daniil Medvedev,14187341,P,9700,Wawrinka@Medvedev 01/26/2020 11:00PM ET,Medvedev,75.73,0.770904684652206,0,-345,-340,-325,0.775280898876405,0.772727272727273,0.764705882352941
P,Dominic Thiem (14187342),Dominic Thiem,14187342,P,9400,Thiem@Monfils 01/26/2020 08:15PM ET,Thiem,74.05,0.74017094017094,0,-275,-290,-290,0.733333333333333,0.743589743589744,0.743589743589744
P,Simona Halep (14187343),Simona Halep,14187343,P,8600,Halep@Mertens 01/26/2020 07:00PM ET,Halep,64.14,0.632350436719851,0,-186,-166,-165,0.65034965034965,0.62406015037594,0.622641509433962
P,Garbine Muguruza (14187344),Garbine Muguruza,14187344,P,8200,Bertens@Muguruza 01/26/2020 10:15PM ET,Muguruza,64.43,0.592924954222831,0,-148,-144,-145,0.596774193548387,0.590163934426229,0.591836734693878
P,Anett Kontaveit (14187345),Anett Kontaveit,14187345,P,8000,Swiatek@Kontaveit 01/26/2020 08:30PM ET,Kontaveit,61.93,0.566466766616692,0,-132,-130,-130,0.568965517241379,0.565217391304348,0.565217391304348
P,Andrey Rublev (14187346),Andrey Rublev,14187346,P,7900,Zverev@Rublev 01/27/2020 02:30AM ET,Rublev,71.8,0.545354337021004,0,-124,-116,-120,0.553571428571429,0.537037037037037,0.545454545454545
P,Anastasia Pavlyuchenkova (14187347),Anastasia Pavlyuchenkova,14187347,P,7700,Pavlyuchenkova@Kerber 01/27/2020 01:00AM ET,Pavlyuchenkova,53.98,0.541930937279775,0,-115,-120,-120,0.534883720930232,0.545454545454545,0.545454545454545
P,Angelique Kerber (14187348),Angelique Kerber,14187348,P,7600,Pavlyuchenkova@Kerber 01/27/2020 01:00AM ET,Kerber,57.7,0.504760091393755,0,-108,102,100,0.519230769230769,0.495049504950495,0.5
P,Alexander Zverev (14187349),Alexander Zverev,14187349,P,7500,Zverev@Rublev 01/27/2020 02:30AM ET,Zverev,78.8,0.5,0,100,100,100,0.5,0.5,0.5
P,Iga Swiatek (14187350),Iga Swiatek,14187350,P,7300,Swiatek@Kontaveit 01/26/2020 08:30PM ET,Swiatek,74.1,0.476993458945879,0,107,112,110,0.483091787439613,0.471698113207547,0.476190476190476
P,Kiki Bertens (14187351),Kiki Bertens,14187351,P,7200,Bertens@Muguruza 01/26/2020 10:15PM ET,Bertens,60.74,0.448545972293638,0,118,126,125,0.458715596330275,0.442477876106195,0.444444444444444
P,Elise Mertens (14187352),Elise Mertens,14187352,P,6800,Halep@Mertens 01/26/2020 07:00PM ET,Mertens,70.66,0.407128801933997,0,150,142,145,0.4,0.413223140495868,0.408163265306122
P,Gael Monfils (14187353),Gael Monfils,14187353,P,6000,Thiem@Monfils 01/26/2020 08:15PM ET,Monfils,69.3,0.306576198416806,0,210,230,240,0.32258064516129,0.303030303030303,0.294117647058823
P,Stan Wawrinka (14187354),Stan Wawrinka,14187354,P,5600,Wawrinka@Medvedev 01/26/2020 11:00PM ET,Wawrinka,65.72,0.274006883595925,0,260,270,265,0.277777777777778,0.27027027027027,0.273972602739726
P,Nick Kyrgios (14187355),Nick Kyrgios,14187355,P,5000,Kyrgios@Nadal 01/27/2020 03:00AM ET,Kyrgios,73.95,0.200944669365722,0,375,420,400,0.210526315789474,0.192307692307692,0.2
