Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game Info,Team,Opponent,Injury Indicator,Injury Details,Tier,,,DK,FD,BetUS
43025-105121,M,Rafael,Rafael Nadal,Nadal,167.9333292643229,3,21,Kyrgios@Nadal 01/27/2020 03:00AM ET,,,,,,0.837606837606838,0,-500,-550,-500
43025-109389,M,Daniil,Daniil Medvedev,Medvedev,151.0666707356771,3,20,Wawrinka@Medvedev 01/26/2020 11:00PM ET,,,,,,0.770904684652206,0,-345,-340,-325
43025-105744,M,Dominic,Dominic Thiem,Thiem,149.13333129882812,3,18,Thiem@Monfils 01/26/2020 08:15PM ET,,,,,,0.74017094017094,0,-275,-290,-290
43025-104992,F,Garbine,Garbine Muguruza,Muguruza,120.25,10,17,Bertens@Muguruza 01/26/2020 10:15PM ET,,,,,,0.592924954222831,0,-148,-144,-145
43025-105916,F,Simona,Simona Halep,Halep,131.75999755859374,5,17,Halep@Mertens 01/26/2020 07:00PM ET,,,,,,0.632350436719851,0,-186,-166,-165
43025-105870,F,Anastasia,Anastasia Pavlyuchenkova,Pavlyuchenkova,112.2000020345052,6,16,Pavlyuchenkova@Kerber 01/27/2020 01:00AM ET,,,,,,0.541930937279775,0,-115,-120,-120
43025-105012,F,Anett,Anett Kontaveit,Kontaveit,131.13333129882812,6,16,Swiatek@Kontaveit 01/26/2020 08:30PM ET,,,,,,0.566466766616692,0,-132,-130,-130
43025-109626,M,Andrey,Andrey Rublev,Rublev,148.77272727272728,11,16,Zverev@Rublev 01/27/2020 02:30AM ET,,,,,,0.545354337021004,0,-124,-116,-120
43025-110093,F,Angelique,Angelique Kerber,Kerber,110.90000406901042,6,15,Pavlyuchenkova@Kerber 01/27/2020 01:00AM ET,,,,,,0.504760091393755,0,-108,102,100
43025-105749,F,Iga,Iga Swiatek,Swiatek,156.4000040690104,3,15,Swiatek@Kontaveit 01/26/2020 08:30PM ET,,,,,,0.476993458945879,0,107,112,110
43025-105786,M,Alexander,Alexander Zverev,Zverev,152.86666870117188,3,15,Zverev@Rublev 01/27/2020 02:30AM ET,,,,,,0.5,0,100,100,100
43025-105030,F,Elise,Elise Mertens,Mertens,149.81111653645834,9,14,Halep@Mertens 01/26/2020 07:00PM ET,,,,,,0.407128801933997,0,150,142,145
43025-105500,F,Kiki,Kiki Bertens,Bertens,125.84999593098958,6,14,Bertens@Muguruza 01/26/2020 10:15PM ET,,,,,,0.448545972293638,0,118,126,125
43025-105863,M,Gael,Gael Monfils,Monfils,139.26666259765625,3,12,Thiem@Monfils 01/26/2020 08:15PM ET,,,,,,0.306576198416806,0,210,230,240
43025-105372,M,Stan,Stan Wawrinka,Wawrinka,133.66666666666666,6,11,Wawrinka@Medvedev 01/26/2020 11:00PM ET,,,,,,0.274006883595925,0,260,270,265
43025-108193,M,Nick,Nick Kyrgios,Kyrgios,147.73333740234375,3,10,Kyrgios@Nadal 01/27/2020 03:00AM ET,,,,,,0.200944669365722,0,375,420,400
