entry_id,contest_id,contest_name,P,P,P,P,P,P,,Instructions,,,,,,,,,,,,,,
1971545706,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-110093:Angelique Kerber,43025-109626:Andrey Rublev,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
1971548103,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105749:Iga Swiatek,43025-109626:Andrey Rublev,43025-105870:Anastasia Pavlyuchenkova,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
1971548105,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105786:Alexander Zverev,43025-105012:Anett Kontaveit,43025-105870:Anastasia Pavlyuchenkova,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
1971548108,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105030:Elise Mertens,43025-109626:Andrey Rublev,43025-105012:Anett Kontaveit,43025-105870:Anastasia Pavlyuchenkova,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
1971548110,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105500:Kiki Bertens,43025-109626:Andrey Rublev,43025-105012:Anett Kontaveit,43025-105870:Anastasia Pavlyuchenkova,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548112,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-109626:Andrey Rublev,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105121:Rafael Nadal,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
1971548115,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,43025-105121:Rafael Nadal,43025-105121,M,Rafael,Rafael Nadal,Nadal,167.933329264323,3,21,,,,,,
1971548119,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-109389:Daniil Medvedev,43025-109389,M,Daniil,Daniil Medvedev,Medvedev,151.066670735677,3,20,,,,,,
1971548120,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105749:Iga Swiatek,43025-110093:Angelique Kerber,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-109389:Daniil Medvedev,,43025-105744:Dominic Thiem,43025-105744,M,Dominic,Dominic Thiem,Thiem,149.133331298828,3,18,,,,,,
1971548122,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105786:Alexander Zverev,43025-110093:Angelique Kerber,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-109389:Daniil Medvedev,,43025-104992:Garbine Muguruza,43025-104992,F,Garbine,Garbine Muguruza,Muguruza,120.25,10,17,,,,,,
