Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win
P,Grigor Dimitrov (14240395),Grigor Dimitrov,14240395,P,9700,Barrere@Dimitrov 02/05/2020 01:00PM ET,Dimitrov,63.2,0.750776649510827,0,-295,-320,-290,0.746835443037975,0.761904761904762,0.743589743589744,0
P,Taro Daniel (14240396),Taro Daniel,14240396,P,9600,Mukund@Daniel 02/05/2020 06:20AM ET,Daniel,0,0.744220911247771,0,-295,-310,-270,0.746835443037975,0.75609756097561,0.72972972972973,1
P,Pablo Cuevas (14240397),Pablo Cuevas,14240397,P,9500,Mager@Cuevas 02/05/2020 02:50PM ET,Cuevas,37.02,0.748827113168198,0,-278,-330,-290,0.735449735449735,0.767441860465116,0.743589743589744,1
P,Gilles Simon (14240398),Gilles Simon,14240398,P,9300,Gasquet@Simon 02/05/2020 09:20AM ET,Simon,40.97,0.696828358208955,0,-235,-235,-220,0.701492537313433,0.701492537313433,0.6875,0
P,Ugo Humbert (14240399),Ugo Humbert,14240399,P,9200,Lopez@Humbert 02/05/2020 08:00AM ET,Humbert,54.48,0.690656565656566,0,-230,-220,-220,0.696969696969697,0.6875,0.6875,0
P,Cristian Garin (14240400),Cristian Garin,14240400,P,9100,Garin@Balazs 02/05/2020 06:20PM ET,Garin,40.88,0.669947747957923,0,-205,-215,-190,0.672131147540984,0.682539682539683,0.655172413793103,1
P,Denis Shapovalov (14240401),Denis Shapovalov,14240401,P,9000,Shapovalov@Pospisil 02/05/2020 02:20PM ET,Shapovalov,33.68,0.678902116402116,0,-220,-215,-200,0.6875,0.682539682539683,0.666666666666667,0
P,Yuichi Sugita (14240402),Yuichi Sugita,14240402,P,8600,Troicki@Sugita 02/05/2020 06:20AM ET,Sugita,64.08,0.630437256823545,0,-162,-186,-165,0.618320610687023,0.65034965034965,0.622641509433962,2
P,Ilya Ivashka (14240403),Ilya Ivashka,14240403,P,8400,Travaglia@Ivashka 02/05/2020 07:40AM ET,Ivashka,59.38,0.597000822838654,0,-157,-148,-140,0.610894941634241,0.596774193548387,0.583333333333333,1
P,Guido Pella (14240404),Guido Pella,14240404,P,8300,Pella@Moutet 02/05/2020 05:00PM ET,Pella,52.75,0.612299465240642,0,-155,-164,-155,0.607843137254902,0.621212121212121,0.607843137254902,0
P,Carlos Taberner (14240405),Carlos Taberner,14240405,P,8200,Martin@Taberner 02/05/2020 01:30PM ET,Taberner,62.35,0.55018655018655,0,-125,-122,-120,0.555555555555556,0.54954954954955,0.545454545454545,0
P,Jiri Vesely (14240406),Jiri Vesely,14240406,P,8100,Vesely@Caruso 02/05/2020 05:00AM ET,Vesely,79.45,0.558810143322084,0,-127,-128,-125,0.559471365638767,0.56140350877193,0.555555555555556,1
P,Adrian Mannarino (14240407),Adrian Mannarino,14240407,P,8000,Popyrin@Mannarino 02/05/2020 06:00AM ET,Mannarino,19.17,0.545454545454545,0,-120,-120,-120,0.545454545454545,0.545454545454545,0.545454545454545,1
P,Ricardas Berankis (14240408),Ricardas Berankis,14240408,P,7900,Berankis@Stebe 02/05/2020 05:00AM ET,Berankis,42.87,0.549477071600965,0,-120,-126,-120,0.545454545454545,0.557522123893805,0.545454545454545,1
P,Cedrik-Marcel Stebe (14240409),Cedrik-Marcel Stebe,14240409,P,7800,Berankis@Stebe 02/05/2020 05:00AM ET,Stebe,46.52,0.509678230266466,0,-104,-108,100,0.509803921568627,0.519230769230769,0.5,0
P,Alexei Popyrin (14240410),Alexei Popyrin,14240410,P,7600,Popyrin@Mannarino 02/05/2020 06:00AM ET,Popyrin,47.78,0.512001548586914,0,-105,-110,100,0.51219512195122,0.523809523809524,0.5,0
P,Salvatore Caruso (14240411),Salvatore Caruso,14240411,P,7500,Vesely@Caruso 02/05/2020 05:00AM ET,Caruso,23.48,0.495934959349593,0,104,-104,105,0.490196078431373,0.509803921568627,0.487804878048781,0
P,Andrej Martin (14240412),Andrej Martin,14240412,P,7400,Martin@Taberner 02/05/2020 01:30PM ET,Martin,68.5,0.504760091393755,0,102,-108,100,0.495049504950495,0.519230769230769,0.5,1
P,Corentin Moutet (14240413),Corentin Moutet,14240413,P,7300,Pella@Moutet 02/05/2020 05:00PM ET,Moutet,49.11,0.441507271294505,0,125,120,135,0.444444444444444,0.454545454545455,0.425531914893617,1
P,Stefano Travaglia (14240414),Stefano Travaglia,14240414,P,7100,Travaglia@Ivashka 02/05/2020 07:40AM ET,Travaglia,12.45,0.455426539538689,0,125,114,120,0.444444444444444,0.467289719626168,0.454545454545455,0
P,Viktor Troicki (14240415),Viktor Troicki,14240415,P,6900,Troicki@Sugita 02/05/2020 06:20AM ET,Troicki,75.35,0.422224895853699,0,130,136,145,0.434782608695652,0.423728813559322,0.408163265306122,2
P,Attila Balazs (14240416),Attila Balazs,14240416,P,6600,Garin@Balazs 02/05/2020 06:20PM ET,Balazs,70.2,0.384199625060474,0,160,156,165,0.384615384615385,0.390625,0.377358490566038,0
P,Feliciano Lopez (14240417),Feliciano Lopez,14240417,P,6500,Lopez@Humbert 02/05/2020 08:00AM ET,Lopez,40.99,0.362473347547974,0,180,168,180,0.357142857142857,0.373134328358209,0.357142857142857,1
P,Vasek Pospisil (14240418),Vasek Pospisil,14240418,P,6400,Shapovalov@Pospisil 02/05/2020 02:20PM ET,Pospisil,46.81,0.375118708452042,0,170,160,170,0.37037037037037,0.384615384615385,0.37037037037037,1
P,Richard Gasquet (14240419),Richard Gasquet,14240419,P,6300,Gasquet@Simon 02/05/2020 09:20AM ET,Gasquet,0,0.358555702982948,0,185,172,180,0.350877192982456,0.367647058823529,0.357142857142857,1
P,Gianluca Mager (14240420),Gianluca Mager,14240420,P,6100,Mager@Cuevas 02/05/2020 02:50PM ET,Mager,65.8,0.304869422516481,0,215,230,240,0.317460317460317,0.303030303030303,0.294117647058823,0
P,Sasikumar Mukund (14240421),Sasikumar Mukund,14240421,P,6000,Mukund@Daniel 02/05/2020 06:20AM ET,Mukund,0,0.309394309394309,0,225,215,230,0.307692307692308,0.317460317460317,0.303030303030303,0
P,Gregoire Barrere (14240422),Gregoire Barrere,14240422,P,5900,Barrere@Dimitrov 02/05/2020 01:00PM ET,Barrere,45.7,0.303215983363042,0,230,220,240,0.303030303030303,0.3125,0.294117647058823,1
