Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
P,Cameron Norrie (14276334),Cameron Norrie,14276334,P,11300,Norrie@Shi 02/11/2020 07:30PM ET,Norrie,30.18,0.981999357119897,0,-5000,-6000,,0.980392156862745,0.983606557377049,,1
P,Cristian Garin (14276335),Cristian Garin,14276335,P,10800,Garin@Diaz Acosta 02/11/2020 01:50PM ET,Garin,55.52,0.911616161616162,0,-1000,-1100,-1000,0.909090909090909,0.916666666666667,0.909090909090909,-1
P,Juan Ignacio Londero (14276336),Juan Ignacio Londero,14276336,P,9900,Londero@Horansky 02/11/2020 05:00PM ET,Londero,40.53,0.764673311184939,0,,-330,-320,,0.767441860465116,0.761904761904762,1
P,Yoshihito Nishioka (14276337),Yoshihito Nishioka,14276337,P,9800,Laaksonen@Nishioka 02/11/2020 02:40PM ET,Nishioka,48.02,0.79430432182815,0,-385,-430,-350,0.793814432989691,0.811320754716981,0.777777777777778,1
P,Filip Krajinovic (14276338),Filip Krajinovic,14276338,P,9700,Griekspoor@Krajinovic 02/11/2020 02:50PM ET,Krajinovic,51.43,0.802564102564103,0,-400,-420,-400,0.8,0.807692307692308,0.8,1
P,Kyle Edmund (14276339),Kyle Edmund,14276339,P,9600,Uchiyama@Edmund 02/11/2020 01:20PM ET,Edmund,45.11,0.779660414890594,0,-360,-380,-325,0.782608695652174,0.791666666666667,0.764705882352941,1
P,Stefanos Tsitsipas (14276340),Stefanos Tsitsipas,14276340,P,9400,Tsitsipas@Hurkacz 02/11/2020 01:30PM ET,Tsitsipas,54.12,0.726984126984127,0,-275,-250,-275,0.733333333333333,0.714285714285714,0.733333333333333,1
P,Marco Cecchinato (14276341),Marco Cecchinato,14276341,P,9300,Carballes Baena@Cecchinato 02/11/2020 12:30PM ET,Cecchinato,24.82,0.725993116404075,0,-265,-270,-260,0.726027397260274,0.72972972972973,0.722222222222222,0
P,Laslo Djere (14276342),Laslo Djere,14276342,P,9200,Cerundolo@Djere 02/11/2020 03:10PM ET,Djere,42.97,0.730961531479666,0,-286,-270,-260,0.740932642487047,0.72972972972973,0.722222222222222,1
P,Soonwoo Kwon (14276343),Soonwoo Kwon,14276343,P,9100,Kwon@Soeda 02/11/2020 12:00PM ET,Kwon,50,0.647971956482595,0,-182,-196,-175,0.645390070921986,0.662162162162162,0.636363636363636,1
P,Albert Ramos-Vinolas (14276344),Albert Ramos-Vinolas,14276344,P,8800,Ramos-Vinolas@Mayer 02/11/2020 06:20PM ET,Ramos-Vinolas,47.66,0.666419478432827,0,-210,-200,-190,0.67741935483871,0.666666666666667,0.655172413793103,1
P,Fernando Verdasco (14276345),Fernando Verdasco,14276345,P,8700,Martinez@Verdasco 02/11/2020 01:50PM ET,Verdasco,53.17,0.643941273313637,0,-190,-178,-175,0.655172413793103,0.640287769784173,0.636363636363636,-1
P,Kevin Anderson (14276346),Kevin Anderson,14276346,P,8600,Anderson@Jung 02/11/2020 08:50PM ET,Anderson,46.38,0.806198187777135,0,-420,-460,-375,0.807692307692308,0.821428571428571,0.789473684210526,1
P,Dominik Koepfer (14276347),Dominik Koepfer,14276347,P,8500,Koepfer@Schnur 02/11/2020 02:40PM ET,Koepfer,18.1,0.648606330858425,0,-195,-190,-170,0.661016949152542,0.655172413793103,0.62962962962963,1
P,Jordan Thompson (14276348),Jordan Thompson,14276348,P,8400,Thompson@Karlovic 02/11/2020 12:00PM ET,Thompson,41.9,0.616312036749993,0,-159,-174,-150,0.613899613899614,0.635036496350365,0.6,1
P,Corentin Moutet (14276349),Corentin Moutet,14276349,P,8000,Kovalik@Moutet 02/11/2020 12:30PM ET,Moutet,46.92,0.590159345125084,0,-143,-144,-145,0.588477366255144,0.590163934426229,0.591836734693878,0
P,Andrej Martin (14276350),Andrej Martin,14276350,P,7900,Bagnis@Martin 02/11/2020 12:30PM ET,Martin,60.8,0.588957111774901,0,-162,-130,-140,0.618320610687023,0.565217391304348,0.583333333333333,0
P,Paolo Lorenzi (14276351),Paolo Lorenzi,14276351,P,7600,Petrovic@Lorenzi 02/11/2020 01:20PM ET,Lorenzi,11.85,0.491869918699187,0,105,100,105,0.487804878048781,0.5,0.487804878048781,1
P,Danilo Petrovic (14276352),Danilo Petrovic,14276352,P,7400,Petrovic@Lorenzi 02/11/2020 01:20PM ET,Petrovic,0,0.56261328336317,0,-129,-132,-125,0.563318777292576,0.568965517241379,0.555555555555556,0
P,Facundo Bagnis (14276353),Facundo Bagnis,14276353,P,7100,Bagnis@Martin 02/11/2020 12:30PM ET,Bagnis,21.3,0.453675392149551,0,130,112,120,0.434782608695652,0.471698113207547,0.454545454545455,1
P,Jozef Kovalik (14276354),Jozef Kovalik,14276354,P,7000,Kovalik@Moutet 02/11/2020 12:30PM ET,Kovalik,27.3,0.451908129327484,0,117,122,125,0.460829493087558,0.450450450450451,0.444444444444444,1
P,Ivo Karlovic (14276355),Ivo Karlovic,14276355,P,6600,Thompson@Karlovic 02/11/2020 12:00PM ET,Karlovic,40.33,0.437325197050598,0,128,128,130,0.43859649122807,0.43859649122807,0.434782608695652,0
P,Brayden Schnur (14276356),Brayden Schnur,14276356,P,6500,Koepfer@Schnur 02/11/2020 02:40PM ET,Schnur,0,0.401793334413655,0,155,142,150,0.392156862745098,0.413223140495868,0.4,0
P,Pedro Martinez (14276357),Pedro Martinez,14276357,P,6400,Martinez@Verdasco 02/11/2020 01:50PM ET,Martinez,37.22,0.397385620915033,0,150,150,155,0.4,0.4,0.392156862745098,-1
P,Leonardo Mayer (14276358),Leonardo Mayer,14276358,P,6300,Ramos-Vinolas@Mayer 02/11/2020 06:20PM ET,Mayer,27.13,0.375029117167482,0,165,170,165,0.377358490566038,0.37037037037037,0.377358490566038,0
P,Jason Jung (14276359),Jason Jung,14276359,P,6200,Anderson@Jung 02/11/2020 08:50PM ET,Jung,0,0.244955431482026,0,310,300,315,0.24390243902439,0.25,0.240963855421687,0
