Attila Balazs (14314291),Pedro Martinez (14314289),Cristian Garin (14314287),Reilly Opelka (14314281),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),50000,0.0390461,0
Pedro Martinez (14314289),Alexander Bublik (14314285),Federico Coria (14314292),Cristian Garin (14314287),Reilly Opelka (14314281),Stefanos Tsitsipas (14314282),49800,0.0332807,0
Pedro Martinez (14314289),Federico Delbonis (14314286),Federico Coria (14314292),Benoit Paire (14314284),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),50000,0.0313273,0
Federico Delbonis (14314286),Carlos Alcaraz Garfia (14314293),Brandon Nakashima (14314279),Benoit Paire (14314284),Reilly Opelka (14314281),Stefanos Tsitsipas (14314282),49800,0.0295537,0
Federico Delbonis (14314286),Cameron Norrie (14314278),Federico Coria (14314292),Benoit Paire (14314284),Reilly Opelka (14314281),Yoshihito Nishioka (14314277),50000,0.0380212,0
Mikael Ymer (14314283),Noah Rubin (14314276),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),Soonwoo Kwon (14314275),46900,0.0132295,0
Mikael Ymer (14314283),Cameron Norrie (14314278),Cristian Garin (14314287),Reilly Opelka (14314281),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),50000,0.0304331,0
Ryan Harrison (14314274),Carlos Alcaraz Garfia (14314293),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),Yoshihito Nishioka (14314277),49700,0.0292729,0
Noah Rubin (14314276),Carlos Alcaraz Garfia (14314293),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),Stefanos Tsitsipas (14314282),49800,0.0274472,0
Mikael Ymer (14314283),Ryan Harrison (14314274),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),Yoshihito Nishioka (14314277),47400,0.0152299,0
Noah Rubin (14314276),Attila Balazs (14314291),Reilly Opelka (14314281),Pablo Andujar (14314288),Soonwoo Kwon (14314275),Stefanos Tsitsipas (14314282),49700,0.0286581,0
Mackenzie Mcdonald (14314280),Alexander Bublik (14314285),Federico Coria (14314292),Cristian Garin (14314287),Pablo Andujar (14314288),Stefanos Tsitsipas (14314282),49900,0.0335654,0
Ryan Harrison (14314274),Mackenzie Mcdonald (14314280),Benoit Paire (14314284),Cristian Garin (14314287),Yoshihito Nishioka (14314277),Stefanos Tsitsipas (14314282),49700,0.0288378,0
Alexander Bublik (14314285),Cameron Norrie (14314278),Federico Coria (14314292),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),49500,0.037661,0
Alexander Bublik (14314285),Carlos Alcaraz Garfia (14314293),Brandon Nakashima (14314279),Cristian Garin (14314287),Reilly Opelka (14314281),Yoshihito Nishioka (14314277),49800,0.0328814,0
Noah Rubin (14314276),Cameron Norrie (14314278),Federico Coria (14314292),Benoit Paire (14314284),Soonwoo Kwon (14314275),Stefanos Tsitsipas (14314282),50000,0.0310718,0
Mackenzie Mcdonald (14314280),Carlos Alcaraz Garfia (14314293),Benoit Paire (14314284),Cristian Garin (14314287),Pablo Andujar (14314288),Yoshihito Nishioka (14314277),50000,0.0356733,0
Attila Balazs (14314291),Mackenzie Mcdonald (14314280),Benoit Paire (14314284),Cristian Garin (14314287),Yoshihito Nishioka (14314277),Stefanos Tsitsipas (14314282),50000,0.0398341,0
Mikael Ymer (14314283),Federico Delbonis (14314286),Reilly Opelka (14314281),Pablo Andujar (14314288),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),49700,0.0225202,0
Ryan Harrison (14314274),Alexander Bublik (14314285),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),Stefanos Tsitsipas (14314282),49800,0.0288357,0
Carlos Alcaraz Garfia (14314293),Cameron Norrie (14314278),Benoit Paire (14314284),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),50000,0.0416433,0
Noah Rubin (14314276),Pedro Martinez (14314289),Cristian Garin (14314287),Reilly Opelka (14314281),Soonwoo Kwon (14314275),Stefanos Tsitsipas (14314282),49800,0.0265043,0
Mackenzie Mcdonald (14314280),Cameron Norrie (14314278),Federico Coria (14314292),Benoit Paire (14314284),Cristian Garin (14314287),Stefanos Tsitsipas (14314282),49800,0.0391856,0
Noah Rubin (14314276),Federico Delbonis (14314286),Benoit Paire (14314284),Reilly Opelka (14314281),Soonwoo Kwon (14314275),Stefanos Tsitsipas (14314282),49800,0.0252878,0
Mikael Ymer (14314283),Attila Balazs (14314291),Reilly Opelka (14314281),Pablo Andujar (14314288),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),48900,0.0239167,0
Attila Balazs (14314291),Federico Delbonis (14314286),Benoit Paire (14314284),Reilly Opelka (14314281),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),50000,0.037254,0
Pedro Martinez (14314289),Carlos Alcaraz Garfia (14314293),Benoit Paire (14314284),Cristian Garin (14314287),Reilly Opelka (14314281),Yoshihito Nishioka (14314277),49900,0.0353707,0
Attila Balazs (14314291),Alexander Bublik (14314285),Federico Coria (14314292),Reilly Opelka (14314281),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),50000,0.0389594,0
Noah Rubin (14314276),Mackenzie Mcdonald (14314280),Cristian Garin (14314287),Pablo Andujar (14314288),Soonwoo Kwon (14314275),Stefanos Tsitsipas (14314282),49900,0.026731,0
Attila Balazs (14314291),Carlos Alcaraz Garfia (14314293),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),Yoshihito Nishioka (14314277),50000,0.0404351,0
Ryan Harrison (14314274),Cameron Norrie (14314278),Cristian Garin (14314287),Reilly Opelka (14314281),Pablo Andujar (14314288),Yoshihito Nishioka (14314277),50000,0.0345278,0
Mikael Ymer (14314283),Alexander Bublik (14314285),Reilly Opelka (14314281),Pablo Andujar (14314288),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),49900,0.0246563,0
Noah Rubin (14314276),Alexander Bublik (14314285),Federico Coria (14314292),Reilly Opelka (14314281),Soonwoo Kwon (14314275),Stefanos Tsitsipas (14314282),49800,0.0264455,0
Mackenzie Mcdonald (14314280),Federico Delbonis (14314286),Federico Coria (14314292),Benoit Paire (14314284),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),49800,0.0313936,0
Ryan Harrison (14314274),Pedro Martinez (14314289),Benoit Paire (14314284),Cristian Garin (14314287),Yoshihito Nishioka (14314277),Stefanos Tsitsipas (14314282),49900,0.0287769,0
Mackenzie Mcdonald (14314280),Pedro Martinez (14314289),Benoit Paire (14314284),Cristian Garin (14314287),Soonwoo Kwon (14314275),Yoshihito Nishioka (14314277),50000,0.0344478,0
Pedro Martinez (14314289),Cameron Norrie (14314278),Benoit Paire (14314284),Cristian Garin (14314287),Reilly Opelka (14314281),Soonwoo Kwon (14314275),50000,0.0402128,0
