Entry ID,Contest Name,Contest ID,Entry Fee,P,P,P,P,P,P,,Instructions,,,,,,,,
1892427115,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Saisai Zheng (14364059),Belinda Bencic (14364054),Thiago Monteiro (14364053),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Gael Monfils (14364048),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1892427116,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Daniel Evans (14364060),Belinda Bencic (14364054),Thiago Monteiro (14364053),Petra Kvitova (14364052),Aryna Sabalenka (14364050),Gael Monfils (14364048),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1892427117,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Richard Gasquet (14364061),Belinda Bencic (14364054),Thiago Monteiro (14364053),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Andrey Rublev (14364049),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1892427118,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Karen Khachanov (14364062),Thiago Monteiro (14364053),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Andrey Rublev (14364049),Gael Monfils (14364048),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1892427119,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Ons Jabeur (14364057),Svetlana Kuznetsova (14364055),Thiago Monteiro (14364053),Aryna Sabalenka (14364050),Andrey Rublev (14364049),Gael Monfils (14364048),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1892427120,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Jan-Lennard Struff (14364058),Svetlana Kuznetsova (14364055),Thiago Monteiro (14364053),Petra Kvitova (14364052),Aryna Sabalenka (14364050),Novak Djokovic (14364047),,,,,,,,,,
1892427121,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Saisai Zheng (14364059),Svetlana Kuznetsova (14364055),Thiago Monteiro (14364053),Stefanos Tsitsipas (14364051),Gael Monfils (14364048),Novak Djokovic (14364047),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1892427122,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Daniel Evans (14364060),Svetlana Kuznetsova (14364055),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Novak Djokovic (14364047),,P,Novak Djokovic (14364047),Novak Djokovic,14364047,P,10700,Khachanov@Djokovic 02/27/2020 10:00AM ET,Djokovic,75.41
1892427123,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Richard Gasquet (14364061),Svetlana Kuznetsova (14364055),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Novak Djokovic (14364047),,P,Gael Monfils (14364048),Gael Monfils,14364048,P,9800,Gasquet@Monfils 02/27/2020 11:20AM ET,Monfils,69.91
1892427124,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Karen Khachanov (14364062),Svetlana Kuznetsova (14364055),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Andrey Rublev (14364049),Gael Monfils (14364048),,P,Andrey Rublev (14364049),Andrey Rublev,14364049,P,9600,Evans@Rublev 02/27/2020 06:00AM ET,Rublev,67.91
1892427125,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Ons Jabeur (14364057),Roberto Carballes Baena (14364056),Belinda Bencic (14364054),Stefanos Tsitsipas (14364051),Andrey Rublev (14364049),Novak Djokovic (14364047),,P,Aryna Sabalenka (14364050),Aryna Sabalenka,14364050,P,9400,Sabalenka@Zheng 02/27/2020 07:30AM ET,Sabalenka,56.67
1892427126,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Jan-Lennard Struff (14364058),Roberto Carballes Baena (14364056),Belinda Bencic (14364054),Petra Kvitova (14364052),Gael Monfils (14364048),Novak Djokovic (14364047),,P,Stefanos Tsitsipas (14364051),Stefanos Tsitsipas,14364051,P,9100,Tsitsipas@Struff 02/27/2020 07:20AM ET,Tsitsipas,66
1892427127,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Saisai Zheng (14364059),Roberto Carballes Baena (14364056),Belinda Bencic (14364054),Stefanos Tsitsipas (14364051),Gael Monfils (14364048),Novak Djokovic (14364047),,P,Petra Kvitova (14364052),Petra Kvitova,14364052,P,9000,Kvitova@Jabeur 02/27/2020 10:00AM ET,Kvitova,64.25
1892427128,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Daniel Evans (14364060),Roberto Carballes Baena (14364056),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Novak Djokovic (14364047),,P,Thiago Monteiro (14364053),Thiago Monteiro,14364053,P,8400,Carballes Baena@Monteiro 02/27/2020 11:00AM ET,Monteiro,49.56
1892427129,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Richard Gasquet (14364061),Roberto Carballes Baena (14364056),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Andrey Rublev (14364049),Novak Djokovic (14364047),,P,Belinda Bencic (14364054),Belinda Bencic,14364054,P,8200,Bencic@Kuznetsova 02/27/2020 08:45AM ET,Bencic,45.98
1892427130,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Karen Khachanov (14364062),Roberto Carballes Baena (14364056),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Andrey Rublev (14364049),Gael Monfils (14364048),,P,Svetlana Kuznetsova (14364055),Svetlana Kuznetsova,14364055,P,6600,Bencic@Kuznetsova 02/27/2020 08:45AM ET,Kuznetsova,51.59
1892427131,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Jan-Lennard Struff (14364058),Ons Jabeur (14364057),Thiago Monteiro (14364053),Aryna Sabalenka (14364050),Gael Monfils (14364048),Novak Djokovic (14364047),,P,Roberto Carballes Baena (14364056),Roberto Carballes Baena,14364056,P,6500,Carballes Baena@Monteiro 02/27/2020 11:00AM ET,Carballes Baena,30.57
1892427132,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Saisai Zheng (14364059),Ons Jabeur (14364057),Thiago Monteiro (14364053),Andrey Rublev (14364049),Gael Monfils (14364048),Novak Djokovic (14364047),,P,Ons Jabeur (14364057),Ons Jabeur,14364057,P,5900,Kvitova@Jabeur 02/27/2020 10:00AM ET,Jabeur,51.77
1892427133,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Daniel Evans (14364060),Ons Jabeur (14364057),Thiago Monteiro (14364053),Aryna Sabalenka (14364050),Gael Monfils (14364048),Novak Djokovic (14364047),,P,Jan-Lennard Struff (14364058),Jan-Lennard Struff,14364058,P,5800,Tsitsipas@Struff 02/27/2020 07:20AM ET,Struff,54.14
1892427134,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Richard Gasquet (14364061),Ons Jabeur (14364057),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Andrey Rublev (14364049),Novak Djokovic (14364047),,P,Saisai Zheng (14364059),Saisai Zheng,14364059,P,5400,Sabalenka@Zheng 02/27/2020 07:30AM ET,Zheng,54.14
1892427135,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Karen Khachanov (14364062),Ons Jabeur (14364057),Stefanos Tsitsipas (14364051),Aryna Sabalenka (14364050),Andrey Rublev (14364049),Gael Monfils (14364048),,P,Daniel Evans (14364060),Daniel Evans,14364060,P,5200,Evans@Rublev 02/27/2020 06:00AM ET,Evans,54.64
1892427136,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Saisai Zheng (14364059),Jan-Lennard Struff (14364058),Thiago Monteiro (14364053),Andrey Rublev (14364049),Gael Monfils (14364048),Novak Djokovic (14364047),,P,Richard Gasquet (14364061),Richard Gasquet,14364061,P,5100,Gasquet@Monfils 02/27/2020 11:20AM ET,Gasquet,54.16
1892427137,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Daniel Evans (14364060),Jan-Lennard Struff (14364058),Petra Kvitova (14364052),Aryna Sabalenka (14364050),Gael Monfils (14364048),Novak Djokovic (14364047),,P,Karen Khachanov (14364062),Karen Khachanov,14364062,P,4100,Khachanov@Djokovic 02/27/2020 10:00AM ET,Khachanov,54.37
1892427138,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Richard Gasquet (14364061),Jan-Lennard Struff (14364058),Petra Kvitova (14364052),Aryna Sabalenka (14364050),Andrey Rublev (14364049),Novak Djokovic (14364047),,,,,,,,,,
1892427139,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Karen Khachanov (14364062),Jan-Lennard Struff (14364058),Petra Kvitova (14364052),Aryna Sabalenka (14364050),Andrey Rublev (14364049),Gael Monfils (14364048),,,,,,,,,,
1892427140,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Daniel Evans (14364060),Saisai Zheng (14364059),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Gael Monfils (14364048),Novak Djokovic (14364047),,,,,,,,,,
1892427141,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Richard Gasquet (14364061),Saisai Zheng (14364059),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Andrey Rublev (14364049),Novak Djokovic (14364047),,,,,,,,,,
1892427142,TEN $8K Overhead [$2K to 1st] (Early),86377431,$10,Karen Khachanov (14364062),Saisai Zheng (14364059),Petra Kvitova (14364052),Stefanos Tsitsipas (14364051),Andrey Rublev (14364049),Gael Monfils (14364048),,,,,,,,,,
