Entry ID,Contest Name,Contest ID,Entry Fee,P,P,P,P,P,P,,Instructions,,,,,,,,
1892742251,TEN $1.5K Ace,86378810,$1,Renata Zarazua (14364888),Grigor Dimitrov (14364887),Kyle Edmund (14364878),John Isner (14364877),Cristian Garin (14364874),Rafael Nadal (14364873),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1892742252,TEN $1.5K Ace,86378810,$1,Soonwoo Kwon (14364890),Lin Zhu (14364884),Kyle Edmund (14364878),Stan Wawrinka (14364876),Tamara Zidansek (14364875),Cristian Garin (14364874),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1892742253,TEN $1.5K Ace,86378810,$1,Soonwoo Kwon (14364890),Grigor Dimitrov (14364887),Kyle Edmund (14364878),John Isner (14364877),Tamara Zidansek (14364875),Cristian Garin (14364874),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1892742254,TEN $1.5K Ace,86378810,$1,Taylor Fritz (14364885),Leylah Annie Fernandez (14364883),Christina Mchale (14364882),Stan Wawrinka (14364876),Tamara Zidansek (14364875),Cristian Garin (14364874),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1892742255,TEN $1.5K Ace,86378810,$1,Lin Zhu (14364884),Anastasia Potapova (14364880),Kyle Edmund (14364878),John Isner (14364877),Stan Wawrinka (14364876),Tamara Zidansek (14364875),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1892742256,TEN $1.5K Ace,86378810,$1,Heather Watson (14364881),Anastasia Potapova (14364880),Kyle Edmund (14364878),John Isner (14364877),Stan Wawrinka (14364876),Tamara Zidansek (14364875),,,,,,,,,,
1892742257,TEN $1.5K Ace,86378810,$1,Alejandro Davidovich Fokina (14364889),Tommy Paul (14364886),Kyle Edmund (14364878),Stan Wawrinka (14364876),Tamara Zidansek (14364875),Rafael Nadal (14364873),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1892742258,TEN $1.5K Ace,86378810,$1,Soonwoo Kwon (14364890),Anastasia Potapova (14364880),Kyle Edmund (14364878),Stan Wawrinka (14364876),Tamara Zidansek (14364875),Cristian Garin (14364874),,P,Rafael Nadal (14364873),Rafael Nadal,14364873,P,10600,Kwon@Nadal 02/27/2020 11:00PM ET,Nadal,71.96
1892742259,TEN $1.5K Ace,86378810,$1,Christina Mchale (14364882),Xiyu Wang (14364879),Kyle Edmund (14364878),John Isner (14364877),Stan Wawrinka (14364876),Tamara Zidansek (14364875),,P,Cristian Garin (14364874),Cristian Garin,14364874,P,9700,Davidovich Fokina@Garin 02/27/2020 06:30PM ET,Garin,59.38
1892742260,TEN $1.5K Ace,86378810,$1,Alejandro Davidovich Fokina (14364889),Taylor Fritz (14364885),John Isner (14364877),Stan Wawrinka (14364876),Tamara Zidansek (14364875),Rafael Nadal (14364873),,P,Tamara Zidansek (14364875),Tamara Zidansek,14364875,P,9200,Zidansek@Zarazua 02/27/2020 08:30PM ET,Zidansek,45.61
