Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1586073561,Skipbidder (36/94),0,453.45,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Rafael Nadal,P,65.86%,70.05
1,1586080109,pianoclub (25/94),0,453.45,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Julia Goerges,P,51.96%,35.4
1,1586103974,Donovan214 (2/2),0,453.45,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Naomi Osaka,P,51.74%,21.85
1,1586110031,dictator_teddy (39/94),0,453.45,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Bianca Vanessa Andreescu,P,51.45%,65.5
1,1586159846,bettissimo (9/16),0,453.45,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Gael Monfils,P,49.00%,93
1,1586192219,bric75 (69/94),0,453.45,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Andrey Rublev,P,43.39%,14.6
7,1586110059,dictator_teddy (67/94),0,450.65,P Gael Monfils P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Elise Mertens,P,42.08%,83.55
7,1586113419,katty.kang (8/15),0,450.65,P Gael Monfils P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Alexander Zverev,P,38.92%,12.15
9,1585881687,Ssharer,0,437.15,P Rafael Nadal P Gael Monfils P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Diego Sebastian Schwartzman,P,38.60%,68.5
9,1586073599,Skipbidder (74/94),0,437.15,P Rafael Nadal P Gael Monfils P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Belinda Bencic,P,33.06%,64.75
9,1586084280,Ramboh (59/94),0,437.15,P Rafael Nadal P Gael Monfils P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Matteo Berrettini,P,32.90%,78.15
9,1586110076,dictator_teddy (84/94),0,437.15,P Rafael Nadal P Gael Monfils P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Kristie Haerim Ahn,P,32.07%,4
9,1586125522,msg365 (12/94),0,437.15,P Rafael Nadal P Gael Monfils P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Donna Vekic,P,28.40%,62.7
9,1586200871,jaydog27 (3/3),0,437.15,P Rafael Nadal P Gael Monfils P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Taylor Townsend,P,19.60%,22.35
15,1585881649,niraj123 (1/2),0,432.6,P Gael Monfils P Bianca Vanessa Andreescu P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Pablo Andujar,P,13.26%,0.95
15,1586110075,dictator_teddy (83/94),0,432.6,P Gael Monfils P Bianca Vanessa Andreescu P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,Marin Cilic,P,6.95%,16.4
17,1585881959,brendanm1562,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1585997826,santorum (4/13),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1585998078,kwast1337 (1/7),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586030451,brandone07 (1/7),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586035775,ringballs22,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586047066,bryrizzo,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586058309,onethehammer,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586065799,BenT05 (2/2),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586073547,Skipbidder (22/94),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586074430,JubPapa (17/20),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586074845,sxavier1515,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586079716,Cannn (12/47),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586079806,NATALIESEV,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586080096,pianoclub (12/94),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586096626,LisaJSenior (1/5),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586096750,DaPantsKraken (1/4),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586109997,dictator_teddy (5/94),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586118269,dkw793 (21/30),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586119494,FULHAMERICA_FC (4/9),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586125529,msg365 (19/94),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586133013,djmikeblau (1/4),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586133028,djmikeblau (2/4),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586140262,chop3312 (7/11),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586143833,pipolechap (2/5),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586159511,rize61 (2/2),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586172522,MoKim0819,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586174253,Kruggers,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586177080,richd287,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586192168,bric75 (18/94),0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
17,1586198905,MCEscher,0,430.5,P Rafael Nadal P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
47,1586082579,IronKing,0,427.7,P Rafael Nadal P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
47,1586110057,dictator_teddy (65/94),0,427.7,P Rafael Nadal P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
47,1586110494,star4life22 (2/2),0,427.7,P Rafael Nadal P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
47,1586121127,katty.kang (11/15),0,427.7,P Rafael Nadal P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
47,1586125559,msg365 (49/94),0,427.7,P Rafael Nadal P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
52,1585902918,benny4411 (1/2),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586004299,alexsrcantin (2/2),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586068214,dshocker42 (1/21),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586071040,santorum (11/13),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586073527,Skipbidder (2/94),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586078161,e5kap0 (2/2),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586079534,Cannn (3/47),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586080098,pianoclub (14/94),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586081912,eel_eel_eel (3/4),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586084047,dtownslinger,0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586086421,Fantasy.Soto (20/22),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586097717,tmason16 (2/6),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586101578,lbressan (4/9),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586112814,dc.will (7/9),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586125552,msg365 (42/94),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586132168,jonasreece (3/3),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586133128,chop3312 (2/11),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586133153,chop3312 (4/11),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586140203,djmikeblau (4/4),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586145462,chumpchangeman (1/20),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586158338,jeter88 (1/13),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586161663,pivowar,0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586179576,melloal,0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586183150,Gator2291 (2/2),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586187178,THE-HOFF112 (11/11),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586187317,Jetjaded,0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586192153,bric75 (3/94),0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586204679,karibou,0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
52,1586210865,jrego1970,0,424.9,P Rafael Nadal P Gael Monfils P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
81,1586110064,dictator_teddy (72/94),0,423.35,P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
82,1586083520,DeeGordon,0,423.15,P Bianca Vanessa Andreescu P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
82,1586110061,dictator_teddy (69/94),0,423.15,P Bianca Vanessa Andreescu P Elise Mertens P Donna Vekic P Diego Sebastian Schwartzman P Matteo Berrettini P Belinda Bencic,,,,,
84,1585922105,Fantasy.Soto (14/22),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586028766,josh3302,0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586039500,gottagetthiswiiin (2/2),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586067854,bowensml22 (1/9),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586073550,Skipbidder (25/94),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586080094,pianoclub (10/94),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586110065,dictator_teddy (73/94),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586113404,katty.kang (4/15),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586184131,Microchaotic (4/5),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
84,1586192213,bric75 (63/94),0,420.35,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Julia Goerges P Matteo Berrettini P Belinda Bencic,,,,,
94,1586067880,Wagboys (2/7),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
94,1586073320,TheSheeks (1/3),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
94,1586073572,Skipbidder (47/94),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
94,1586084329,Ramboh (69/94),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
94,1586086441,Fantasy.Soto (22/22),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
94,1586118255,dkw793 (7/30),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
94,1586176017,blc66 (1/2),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
94,1586192172,bric75 (22/94),0,415.6,P Rafael Nadal P Gael Monfils P Elise Mertens P Diego Sebastian Schwartzman P Matteo Berrettini P Taylor Townsend,,,,,
102,1586084383,Ramboh (82/94),0,411.85,P Rafael Nadal P Gael Monfils P Elise Mertens P Matteo Berrettini P Belinda Bencic P Taylor Townsend,,,,,
102,1586192228,bric75 (78/94),0,411.85,P Rafael Nadal P Gael Monfils P Elise Mertens P Matteo Berrettini P Belinda Bencic P Taylor Townsend,,,,,
104,1585883698,santorum (1/13),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1585921941,Fantasy.Soto (13/22),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1585931478,SirLoins,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1585933290,jayseth (2/3),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1585977333,3D_2015,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1585981518,bettissimo (6/16),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586004500,cdome06,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586005984,Lkcochran (3/5),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586044871,DeathKitten2,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586052239,sheckwave (2/2),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586068529,timurwin (9/12),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586070424,cwhat,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586070572,gbrit12 (1/4),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586070769,danblah25,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586073549,Skipbidder (24/94),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586077540,NPitz14 (1/4),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586078555,davielhorn (2/2),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586079622,Cannn (8/47),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586080169,pianoclub (85/94),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586083090,neal1483,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586085143,psumav (3/10),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586086309,AcesEdy (4/20),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586090485,jackball222,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586095268,LBennett8,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586096419,deezy1uc,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586097074,LeVicomte (15/27),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586100785,lbressan (3/9),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
