Ajla Tomljanovic,Ajla Tomljanović
Anna Lena Friedsam,Anna-Lena Friedsam
Ann LI,Ann Li
Danielle Collins,Danielle Rose Collins
Madinson Brengle,Madison Brengle
Irina Camelia Begu,Irina-Camelia Begu
Alize Cornet,Alizé Cornet
Patricia MariaTig,Patricia Maria Tig
Ludmilla Samsonova,Liudmila Samsonova
Garbine Muguruza Blanco,Garbiñe Muguruza
Ocean Dodin,Oceane Dodin
Veronica Kudermetova,Veronika Kudermetova
Catherine Mcnally,Caty Mcnally
Leylah Fernandez,Leylah Annie Fernandez
Soonwoo Kwon,Soon Woo Kwon
Juan Ignasio Londero,Juan Ignacio Londero
Christian Garin,Cristian Garin
Diego Schwartzman,Diego Sebastian Schwartzman
Aljaz Bedene,Aljaž Bedene
Francis Tiafoe,Frances Tiafoe
Roberto Bautista Agut,Roberto Bautista-Agut
Phillipp Kohlschreiber,Philipp Kohlschreiber
Andrey  Kuznetsov,Andrey Kuznetsov
Karen Kachanov,Karen Khachanov
