Roberto Bautista-Agut,Ashleigh Barty,Daniil Medvedev,Madison Keys,Naomi Osaka,Yoshihito Nishioka,49900
Karolina Pliskova,Roberto Bautista-Agut,Daniil Medvedev,Madison Keys,Sofia Kenin,Yoshihito Nishioka,49900
Karolina Pliskova,Ashleigh Barty,Daniil Medvedev,Madison Keys,Sofia Kenin,Yoshihito Nishioka,49600
Roberto Bautista-Agut,Ashleigh Barty,Daniil Medvedev,Madison Keys,Sofia Kenin,Yoshihito Nishioka,49300
Karolina Pliskova,Roberto Bautista-Agut,Ashleigh Barty,Naomi Osaka,Venus Williams,Yoshihito Nishioka,49400
Novak Djokovic,Roberto Bautista-Agut,Daniil Medvedev,Naomi Osaka,Venus Williams,Yoshihito Nishioka,49900
Karolina Pliskova,Roberto Bautista-Agut,Daniil Medvedev,Naomi Osaka,Venus Williams,Yoshihito Nishioka,49000
Novak Djokovic,Ashleigh Barty,Daniil Medvedev,Naomi Osaka,Venus Williams,Yoshihito Nishioka,49600
Karolina Pliskova,Ashleigh Barty,Daniil Medvedev,Naomi Osaka,Venus Williams,Yoshihito Nishioka,48700
Roberto Bautista-Agut,Ashleigh Barty,Daniil Medvedev,Naomi Osaka,Venus Williams,Yoshihito Nishioka,48400
Karolina Pliskova,Roberto Bautista-Agut,David Goffin,Madison Keys,Naomi Osaka,Andrey Rublev,49700
Karolina Pliskova,Ashleigh Barty,David Goffin,Madison Keys,Naomi Osaka,Andrey Rublev,49400
Roberto Bautista-Agut,Ashleigh Barty,David Goffin,Madison Keys,Naomi Osaka,Andrey Rublev,49100
Karolina Pliskova,Roberto Bautista-Agut,Ashleigh Barty,Madison Keys,Sofia Kenin,Andrey Rublev,49900
Novak Djokovic,Roberto Bautista-Agut,David Goffin,Madison Keys,Sofia Kenin,Andrey Rublev,50000
Karolina Pliskova,Roberto Bautista-Agut,David Goffin,Madison Keys,Sofia Kenin,Andrey Rublev,49100
Novak Djokovic,Ashleigh Barty,David Goffin,Madison Keys,Sofia Kenin,Andrey Rublev,49700
Karolina Pliskova,Ashleigh Barty,David Goffin,Madison Keys,Sofia Kenin,Andrey Rublev,48800
Roberto Bautista-Agut,Ashleigh Barty,David Goffin,Madison Keys,Sofia Kenin,Andrey Rublev,48500
Karolina Pliskova,Roberto Bautista-Agut,Ashleigh Barty,David Goffin,Venus Williams,Andrey Rublev,49700
Novak Djokovic,Roberto Bautista-Agut,Ashleigh Barty,Naomi Osaka,Venus Williams,Andrey Rublev,49900
Karolina Pliskova,Roberto Bautista-Agut,Ashleigh Barty,Naomi Osaka,Venus Williams,Andrey Rublev,49000
Novak Djokovic,Karolina Pliskova,David Goffin,Naomi Osaka,Venus Williams,Andrey Rublev,49400
Novak Djokovic,Roberto Bautista-Agut,David Goffin,Naomi Osaka,Venus Williams,Andrey Rublev,49100
Karolina Pliskova,Roberto Bautista-Agut,David Goffin,Naomi Osaka,Venus Williams,Andrey Rublev,48200
Novak Djokovic,Ashleigh Barty,David Goffin,Naomi Osaka,Venus Williams,Andrey Rublev,48800
Karolina Pliskova,Ashleigh Barty,David Goffin,Naomi Osaka,Venus Williams,Andrey Rublev,47900
Roberto Bautista-Agut,Ashleigh Barty,David Goffin,Naomi Osaka,Venus Williams,Andrey Rublev,47600
Novak Djokovic,Roberto Bautista-Agut,Ashleigh Barty,Madison Keys,Yoshihito Nishioka,Andrey Rublev,49800
Karolina Pliskova,Roberto Bautista-Agut,Ashleigh Barty,Madison Keys,Yoshihito Nishioka,Andrey Rublev,48900
Novak Djokovic,Karolina Pliskova,Ashleigh Barty,Naomi Osaka,Yoshihito Nishioka,Andrey Rublev,49800
Novak Djokovic,Roberto Bautista-Agut,Ashleigh Barty,Naomi Osaka,Yoshihito Nishioka,Andrey Rublev,49500
Karolina Pliskova,Roberto Bautista-Agut,Ashleigh Barty,Naomi Osaka,Yoshihito Nishioka,Andrey Rublev,48600
Novak Djokovic,Karolina Pliskova,Madison Keys,Naomi Osaka,Yoshihito Nishioka,Andrey Rublev,48600
